file,z
CAPERS_COSMOS_P5_s000016812_x1d.fits,2.7202659983579003
CAPERS_COSMOS_P5_s000019774_x1d.fits,nan
CAPERS_COSMOS_P5_s000182522_x1d.fits,7.978357995034978
CAPERS_COSMOS_P5_s000156506_x1d.fits,nan
CAPERS_COSMOS_P5_s000191271_x1d.fits,nan
CAPERS_COSMOS_P5_s000149015_x1d.fits,nan
CAPERS_COSMOS_P5_s000014718_x1d.fits,nan
CAPERS_COSMOS_P5_s000020323_x1d.fits,nan
CAPERS_COSMOS_P5_s000179785_x1d.fits,nan
CAPERS_COSMOS_P5_s000188782_x1d.fits,nan
CAPERS_COSMOS_P5_s000180173_x1d.fits,6.527677365732164
CAPERS_COSMOS_P5_s000019152_x1d.fits,1.1012416970641739
CAPERS_COSMOS_P5_s000190610_x1d.fits,nan
CAPERS_COSMOS_P5_s000168143_x1d.fits,4.947842061038281
CAPERS_COSMOS_P5_s000013708_x1d.fits,nan
CAPERS_COSMOS_P5_s000177457_x1d.fits,4.469912892704453
CAPERS_COSMOS_P5_s000017703_x1d.fits,1.2634682960148709
CAPERS_COSMOS_P5_s000157610_x1d.fits,3.743158829195523
CAPERS_COSMOS_P5_s000011366_x1d.fits,3.557529075608712
CAPERS_COSMOS_P5_s000190065_x1d.fits,nan
CAPERS_COSMOS_P5_s000010446_x1d.fits,nan
CAPERS_COSMOS_P5_s000017077_x1d.fits,2.262937771290725
CAPERS_COSMOS_P5_s000009828_x1d.fits,nan
CAPERS_COSMOS_P5_s000152915_x1d.fits,nan
CAPERS_COSMOS_P5_s000017492_x1d.fits,nan
CAPERS_COSMOS_P5_s000009220_x1d.fits,1.9292962783011984
CAPERS_COSMOS_P5_s000017304_x1d.fits,5.8316641552900155
CAPERS_COSMOS_P5_s000010860_x1d.fits,5.635796649979335
CAPERS_COSMOS_P5_s000010559_x1d.fits,nan
CAPERS_COSMOS_P5_s000015390_x1d.fits,0.6824624627465519
CAPERS_COSMOS_P5_s000152880_x1d.fits,nan
CAPERS_COSMOS_P5_s000158481_x1d.fits,5.754593099689731
CAPERS_COSMOS_P5_s000017314_x1d.fits,8.872610992315836
CAPERS_COSMOS_P5_s000215109_x1d.fits,nan
CAPERS_COSMOS_P5_s000188729_x1d.fits,3.0449966611989794
CAPERS_COSMOS_P5_s000012659_x1d.fits,3.7131505630581545
CAPERS_COSMOS_P5_s000014574_x1d.fits,nan
CAPERS_COSMOS_P5_s000156504_x1d.fits,nan
CAPERS_COSMOS_P5_s000019509_x1d.fits,4.527737844322724
CAPERS_COSMOS_P5_s000148527_x1d.fits,nan
CAPERS_COSMOS_P5_s000157486_x1d.fits,nan
CAPERS_COSMOS_P5_s000158708_x1d.fits,nan
CAPERS_COSMOS_P5_s000011259_x1d.fits,nan
CAPERS_COSMOS_P5_s000184141_x1d.fits,6.0008602371924935
CAPERS_COSMOS_P5_s000016297_x1d.fits,1.3969335380204293
CAPERS_COSMOS_P5_s000154715_x1d.fits,nan
CAPERS_COSMOS_P5_s000015351_x1d.fits,1.9340942658321643
CAPERS_COSMOS_P5_s000013561_x1d.fits,nan
CAPERS_COSMOS_P5_s000011932_x1d.fits,nan
CAPERS_COSMOS_P5_s000011955_x1d.fits,nan
CAPERS_COSMOS_P5_s000017453_x1d.fits,nan
CAPERS_COSMOS_P5_s000013373_x1d.fits,5.23654433536701
CAPERS_COSMOS_P5_s000185200_x1d.fits,nan
CAPERS_COSMOS_P5_s000010048_x1d.fits,nan
CAPERS_COSMOS_P5_s000018499_x1d.fits,3.4233822313068343
CAPERS_COSMOS_P5_s000020717_x1d.fits,nan
CAPERS_COSMOS_P5_s000020435_x1d.fits,4.526783129686554
CAPERS_COSMOS_P5_s000014513_x1d.fits,nan
CAPERS_COSMOS_P5_s000015616_x1d.fits,nan
CAPERS_COSMOS_P5_s000181930_x1d.fits,nan
CAPERS_COSMOS_P5_s000010639_x1d.fits,4.6594220599840455
CAPERS_COSMOS_P5_s000014350_x1d.fits,nan
CAPERS_COSMOS_P5_s000153264_x1d.fits,3.100666708971941
CAPERS_COSMOS_P5_s000161682_x1d.fits,nan
CAPERS_COSMOS_P5_s000010677_x1d.fits,4.656983387167877
CAPERS_COSMOS_P5_s000182987_x1d.fits,3.4522029281686306
CAPERS_COSMOS_P5_s000183524_x1d.fits,nan
CAPERS_COSMOS_P5_s000014113_x1d.fits,1.1118319675025763
CAPERS_COSMOS_P5_s000017111_x1d.fits,3.4131076751622693
CAPERS_COSMOS_P5_s000010246_x1d.fits,nan
CAPERS_COSMOS_P5_s000180966_x1d.fits,4.110420324118349
CAPERS_COSMOS_P5_s000156103_x1d.fits,nan
CAPERS_COSMOS_P5_s000157136_x1d.fits,nan
CAPERS_COSMOS_P5_s000017291_x1d.fits,nan
CAPERS_COSMOS_P5_s000011115_x1d.fits,nan
CAPERS_COSMOS_P5_s000018357_x1d.fits,4.531155803566901
CAPERS_COSMOS_P5_s000183727_x1d.fits,8.29082680396127
CAPERS_COSMOS_P5_s000011170_x1d.fits,1.5649896419426863
CAPERS_COSMOS_P5_s000178755_x1d.fits,nan
CAPERS_COSMOS_P5_s000151425_x1d.fits,3.7193408357503115
CAPERS_COSMOS_P5_s000008881_x1d.fits,1.1385384672578995
CAPERS_COSMOS_P5_s000016820_x1d.fits,3.7587015111217346
CAPERS_COSMOS_P5_s000216118_x1d.fits,nan
CAPERS_COSMOS_P5_s000160387_x1d.fits,6.386774223484583
CAPERS_COSMOS_P5_s000158424_x1d.fits,nan
CAPERS_COSMOS_P5_s000153514_x1d.fits,nan
CAPERS_COSMOS_P5_s000182684_x1d.fits,nan
CAPERS_COSMOS_P5_s000186072_x1d.fits,nan
CAPERS_COSMOS_P5_s000017523_x1d.fits,5.54870601430824
CAPERS_COSMOS_P5_s000148868_x1d.fits,nan
CAPERS_COSMOS_P5_s000014731_x1d.fits,nan
CAPERS_COSMOS_P5_s000014162_x1d.fits,nan
CAPERS_COSMOS_P5_s000189759_x1d.fits,nan
CAPERS_COSMOS_P5_s000010940_x1d.fits,nan
CAPERS_COSMOS_P5_s000021041_x1d.fits,2.932122139419958
CAPERS_COSMOS_P5_s000017084_x1d.fits,3.774399900807814
CAPERS_COSMOS_P5_s000155452_x1d.fits,nan
CAPERS_COSMOS_P5_s000148436_x1d.fits,nan
CAPERS_COSMOS_P5_s000016252_x1d.fits,7.026116798513639
CAPERS_COSMOS_P5_s000016680_x1d.fits,3.541099678620097
CAPERS_COSMOS_P5_s000017277_x1d.fits,3.4919298346085013
CAPERS_COSMOS_P5_s000010051_x1d.fits,7.067039046336106
CAPERS_COSMOS_P5_s000015944_x1d.fits,4.4031454543046475
CAPERS_COSMOS_P5_s000188113_x1d.fits,nan
CAPERS_COSMOS_P5_s000183288_x1d.fits,nan
CAPERS_COSMOS_P5_s000013668_x1d.fits,nan
CAPERS_COSMOS_P5_s000193815_x1d.fits,nan
CAPERS_COSMOS_P5_s000016548_x1d.fits,nan
CAPERS_COSMOS_P5_s000013301_x1d.fits,3.7453692568596333
CAPERS_COSMOS_P5_s000015880_x1d.fits,nan
CAPERS_COSMOS_P5_s000016745_x1d.fits,nan
CAPERS_COSMOS_P5_s000182184_x1d.fits,5.852993737539418
CAPERS_COSMOS_P5_s000017232_x1d.fits,nan
CAPERS_COSMOS_P5_s000147866_x1d.fits,3.955886580259804
CAPERS_COSMOS_P5_s000188451_x1d.fits,nan
CAPERS_COSMOS_P5_s000017245_x1d.fits,nan
CAPERS_COSMOS_P5_s000009705_x1d.fits,nan
CAPERS_COSMOS_P5_s000020358_x1d.fits,nan
CAPERS_COSMOS_P5_s000019692_x1d.fits,5.821820758311411
CAPERS_COSMOS_P5_s000156406_x1d.fits,nan
CAPERS_COSMOS_P5_s000015017_x1d.fits,2.7692865728877867
CAPERS_COSMOS_P5_s000010452_x1d.fits,5.235699709570119
CAPERS_COSMOS_P5_s000010344_x1d.fits,2.1528214339798555
