file,z
CAPERS_COSMOS_P1_s000054833_x1d.fits,1.3452234162416974
CAPERS_COSMOS_P1_s000047883_x1d.fits,nan
CAPERS_COSMOS_P1_s000052661_x1d.fits,6.763798898247775
CAPERS_COSMOS_P1_s000053989_x1d.fits,nan
CAPERS_COSMOS_P1_s000049737_x1d.fits,1.7783890315246889
CAPERS_COSMOS_P1_s000051964_x1d.fits,nan
CAPERS_COSMOS_P1_s000049109_x1d.fits,nan
CAPERS_COSMOS_P1_s000046402_x1d.fits,2.4596531062771367
CAPERS_COSMOS_P1_s000079522_x1d.fits,nan
CAPERS_COSMOS_P1_s000069093_x1d.fits,nan
CAPERS_COSMOS_P1_s000048023_x1d.fits,3.6092087288733277
CAPERS_COSMOS_P1_s000080402_x1d.fits,nan
CAPERS_COSMOS_P1_s000048435_x1d.fits,nan
CAPERS_COSMOS_P1_s000053711_x1d.fits,nan
CAPERS_COSMOS_P1_s000078700_x1d.fits,5.4896075387950525
CAPERS_COSMOS_P1_s000055145_x1d.fits,4.401209979890669
CAPERS_COSMOS_P1_s000051881_x1d.fits,5.842985585561074
CAPERS_COSMOS_P1_s000080999_x1d.fits,nan
CAPERS_COSMOS_P1_s000048995_x1d.fits,1.9624579837037963
CAPERS_COSMOS_P1_s000067472_x1d.fits,nan
CAPERS_COSMOS_P1_s000075242_x1d.fits,nan
CAPERS_COSMOS_P1_s000053726_x1d.fits,nan
CAPERS_COSMOS_P1_s000080318_x1d.fits,nan
CAPERS_COSMOS_P1_s000067231_x1d.fits,nan
CAPERS_COSMOS_P1_s000051148_x1d.fits,nan
CAPERS_COSMOS_P1_s000047484_x1d.fits,nan
CAPERS_COSMOS_P1_s000085850_x1d.fits,nan
CAPERS_COSMOS_P1_s000074429_x1d.fits,nan
CAPERS_COSMOS_P1_s000079845_x1d.fits,nan
CAPERS_COSMOS_P1_s000048367_x1d.fits,nan
CAPERS_COSMOS_P1_s000071321_x1d.fits,nan
CAPERS_COSMOS_P1_s000086214_x1d.fits,nan
CAPERS_COSMOS_P1_s000069582_x1d.fits,nan
CAPERS_COSMOS_P1_s000067795_x1d.fits,4.515882157984193
CAPERS_COSMOS_P1_s000072489_x1d.fits,nan
CAPERS_COSMOS_P1_s000050768_x1d.fits,2.9976976261637236
CAPERS_COSMOS_P1_s000067005_x1d.fits,nan
CAPERS_COSMOS_P1_s000049520_x1d.fits,5.513767478612218
CAPERS_COSMOS_P1_s000052739_x1d.fits,0.9973531903498387
CAPERS_COSMOS_P1_s000055810_x1d.fits,0.8470100902239672
CAPERS_COSMOS_P1_s000068199_x1d.fits,nan
CAPERS_COSMOS_P1_s000049845_x1d.fits,5.123286224968638
CAPERS_COSMOS_P1_s000080840_x1d.fits,nan
CAPERS_COSMOS_P1_s000073646_x1d.fits,nan
CAPERS_COSMOS_P1_s000084836_x1d.fits,nan
CAPERS_COSMOS_P1_s000068595_x1d.fits,nan
CAPERS_COSMOS_P1_s000055311_x1d.fits,nan
CAPERS_COSMOS_P1_s000054360_x1d.fits,2.418330544360698
CAPERS_COSMOS_P1_s000048566_x1d.fits,0.8750212972026541
CAPERS_COSMOS_P1_s000051019_x1d.fits,2.057455446195915
CAPERS_COSMOS_P1_s000054857_x1d.fits,4.39568433843498
CAPERS_COSMOS_P1_s000046824_x1d.fits,nan
CAPERS_COSMOS_P1_s000055244_x1d.fits,2.205526129842781
CAPERS_COSMOS_P1_s000078944_x1d.fits,3.4751914885078854
CAPERS_COSMOS_P1_s000064761_x1d.fits,1.9289667683017213
CAPERS_COSMOS_P1_s000065661_x1d.fits,4.880737818951661
CAPERS_COSMOS_P1_s000078510_x1d.fits,nan
CAPERS_COSMOS_P1_s000068587_x1d.fits,nan
CAPERS_COSMOS_P1_s000075957_x1d.fits,2.1093225096425456
CAPERS_COSMOS_P1_s000077529_x1d.fits,4.0595612055859736
CAPERS_COSMOS_P1_s000086574_x1d.fits,4.163553114872577
CAPERS_COSMOS_P1_s000046909_x1d.fits,4.179428639991902
CAPERS_COSMOS_P1_s000052187_x1d.fits,nan
CAPERS_COSMOS_P1_s000055675_x1d.fits,0.37507161697417923
CAPERS_COSMOS_P1_s000051751_x1d.fits,nan
CAPERS_COSMOS_P1_s000079863_x1d.fits,2.572824650487939
CAPERS_COSMOS_P1_s000084291_x1d.fits,5.991788872897281
CAPERS_COSMOS_P1_s000055051_x1d.fits,0.6864053086182551
CAPERS_COSMOS_P1_s000055542_x1d.fits,nan
