file,z
CAPERS_COSMOS_P6_s000131317_x1d.fits,nan
CAPERS_COSMOS_P6_s000025348_x1d.fits,2.692048120241525
CAPERS_COSMOS_P6_s000153660_x1d.fits,nan
CAPERS_COSMOS_P6_s000147518_x1d.fits,nan
CAPERS_COSMOS_P6_s000016414_x1d.fits,3.467123913071095
CAPERS_COSMOS_P6_s000017030_x1d.fits,nan
CAPERS_COSMOS_P6_s000015659_x1d.fits,nan
CAPERS_COSMOS_P6_s000139123_x1d.fits,nan
CAPERS_COSMOS_P6_s000153330_x1d.fits,nan
CAPERS_COSMOS_P6_s000015049_x1d.fits,3.4574302343193866
CAPERS_COSMOS_P6_s000021133_x1d.fits,2.4680506034075487
CAPERS_COSMOS_P6_s000155681_x1d.fits,5.366359370898077
CAPERS_COSMOS_P6_s000142148_x1d.fits,4.425942594095074
CAPERS_COSMOS_P6_s000146138_x1d.fits,5.765434073906638
CAPERS_COSMOS_P6_s000130033_x1d.fits,nan
CAPERS_COSMOS_P6_s000020371_x1d.fits,nan
CAPERS_COSMOS_P6_s000131579_x1d.fits,nan
CAPERS_COSMOS_P6_s000142288_x1d.fits,5.664708295410351
CAPERS_COSMOS_P6_s000149226_x1d.fits,nan
CAPERS_COSMOS_P6_s000131766_x1d.fits,6.092695596190968
CAPERS_COSMOS_P6_s000026737_x1d.fits,6.072234072798569
CAPERS_COSMOS_P6_s000146378_x1d.fits,5.32694721317158
CAPERS_COSMOS_P6_s000147449_x1d.fits,nan
CAPERS_COSMOS_P6_s000017160_x1d.fits,1.4293383755699156
CAPERS_COSMOS_P6_s000021098_x1d.fits,0.9400100020417583
CAPERS_COSMOS_P6_s000022667_x1d.fits,4.472771154749818
CAPERS_COSMOS_P6_s000139396_x1d.fits,nan
CAPERS_COSMOS_P6_s000149626_x1d.fits,nan
CAPERS_COSMOS_P6_s000017131_x1d.fits,1.523748016357422
CAPERS_COSMOS_P6_s000018448_x1d.fits,nan
CAPERS_COSMOS_P6_s000147458_x1d.fits,3.694205642770288
CAPERS_COSMOS_P6_s000132792_x1d.fits,nan
CAPERS_COSMOS_P6_s000138691_x1d.fits,nan
CAPERS_COSMOS_P6_s000193186_x1d.fits,nan
CAPERS_COSMOS_P6_s000027430_x1d.fits,nan
CAPERS_COSMOS_P6_s000211279_x1d.fits,nan
CAPERS_COSMOS_P6_s000147050_x1d.fits,4.385486194419365
CAPERS_COSMOS_P6_s000014618_x1d.fits,1.1680936571459868
CAPERS_COSMOS_P6_s000138743_x1d.fits,nan
CAPERS_COSMOS_P6_s000026511_x1d.fits,nan
CAPERS_COSMOS_P6_s000160593_x1d.fits,nan
CAPERS_COSMOS_P6_s000155579_x1d.fits,nan
CAPERS_COSMOS_P6_s000020859_x1d.fits,5.41340644673385
CAPERS_COSMOS_P6_s000016190_x1d.fits,nan
CAPERS_COSMOS_P6_s000156968_x1d.fits,nan
CAPERS_COSMOS_P6_s000137971_x1d.fits,5.833081238755976
CAPERS_COSMOS_P6_s000147467_x1d.fits,nan
CAPERS_COSMOS_P6_s000014802_x1d.fits,3.002317756700494
CAPERS_COSMOS_P6_s000017158_x1d.fits,5.359199194796719
CAPERS_COSMOS_P6_s000024517_x1d.fits,nan
CAPERS_COSMOS_P6_s000143803_x1d.fits,2.7643662798016613
CAPERS_COSMOS_P6_s000025220_x1d.fits,nan
CAPERS_COSMOS_P6_s000024534_x1d.fits,3.7122025075538776
CAPERS_COSMOS_P6_s000158763_x1d.fits,nan
CAPERS_COSMOS_P6_s000154583_x1d.fits,nan
CAPERS_COSMOS_P6_s000156398_x1d.fits,5.319865863642532
CAPERS_COSMOS_P6_s000018196_x1d.fits,nan
CAPERS_COSMOS_P6_s000211132_x1d.fits,nan
CAPERS_COSMOS_P6_s000027131_x1d.fits,3.1129649748040027
CAPERS_COSMOS_P6_s000146833_x1d.fits,nan
CAPERS_COSMOS_P6_s000143397_x1d.fits,nan
CAPERS_COSMOS_P6_s000138303_x1d.fits,nan
CAPERS_COSMOS_P6_s000021379_x1d.fits,3.974134844213692
CAPERS_COSMOS_P6_s000157581_x1d.fits,4.536916033262235
CAPERS_COSMOS_P6_s000020797_x1d.fits,3.7153128533870943
CAPERS_COSMOS_P6_s000023791_x1d.fits,2.4700489145906963
CAPERS_COSMOS_P6_s000022248_x1d.fits,6.229641761421705
CAPERS_COSMOS_P6_s000023347_x1d.fits,3.116906891613132
CAPERS_COSMOS_P6_s000022730_x1d.fits,0.4034701079362306
CAPERS_COSMOS_P6_s000019279_x1d.fits,4.5138850988255115
CAPERS_COSMOS_P6_s000024289_x1d.fits,nan
CAPERS_COSMOS_P6_s000129064_x1d.fits,nan
CAPERS_COSMOS_P6_s000022427_x1d.fits,2.982868278860301
CAPERS_COSMOS_P6_s000148059_x1d.fits,nan
CAPERS_COSMOS_P6_s000136167_x1d.fits,nan
CAPERS_COSMOS_P6_s000129819_x1d.fits,nan
CAPERS_COSMOS_P6_s000014640_x1d.fits,3.513959058705069
CAPERS_COSMOS_P6_s000024251_x1d.fits,nan
CAPERS_COSMOS_P6_s000024913_x1d.fits,2.6792669393622837
CAPERS_COSMOS_P6_s000148668_x1d.fits,3.461388733659839
CAPERS_COSMOS_P6_s000161645_x1d.fits,nan
CAPERS_COSMOS_P6_s000156051_x1d.fits,nan
CAPERS_COSMOS_P6_s000026946_x1d.fits,1.5395142810654683
CAPERS_COSMOS_P6_s000147745_x1d.fits,nan
CAPERS_COSMOS_P6_s000140776_x1d.fits,nan
CAPERS_COSMOS_P6_s000156730_x1d.fits,3.7295830625051343
CAPERS_COSMOS_P6_s000155573_x1d.fits,nan
CAPERS_COSMOS_P6_s000027640_x1d.fits,nan
CAPERS_COSMOS_P6_s000138620_x1d.fits,1.1572631586805082
CAPERS_COSMOS_P6_s000133613_x1d.fits,4.887432758099383
CAPERS_COSMOS_P6_s000018439_x1d.fits,4.942358093535993
CAPERS_COSMOS_P6_s000022955_x1d.fits,nan
CAPERS_COSMOS_P6_s000134215_x1d.fits,nan
CAPERS_COSMOS_P6_s000146647_x1d.fits,nan
CAPERS_COSMOS_P6_s000027997_x1d.fits,nan
CAPERS_COSMOS_P6_s000160236_x1d.fits,nan
CAPERS_COSMOS_P6_s000130486_x1d.fits,3.965848543697759
CAPERS_COSMOS_P6_s000024260_x1d.fits,2.681439517238123
CAPERS_COSMOS_P6_s000023773_x1d.fits,4.384351956241974
CAPERS_COSMOS_P6_s000016540_x1d.fits,1.7263390701260422
CAPERS_COSMOS_P6_s000132460_x1d.fits,nan
CAPERS_COSMOS_P6_s000155993_x1d.fits,nan
CAPERS_COSMOS_P6_s000019838_x1d.fits,1.2423428853352863
CAPERS_COSMOS_P6_s000022925_x1d.fits,1.1799886348077537
CAPERS_COSMOS_P6_s000159477_x1d.fits,nan
CAPERS_COSMOS_P6_s000024889_x1d.fits,nan
CAPERS_COSMOS_P6_s000145760_x1d.fits,5.868456733421129
CAPERS_COSMOS_P6_s000136409_x1d.fits,nan
CAPERS_COSMOS_P6_s000027326_x1d.fits,4.395483394475761
CAPERS_COSMOS_P6_s000020913_x1d.fits,nan
CAPERS_COSMOS_P6_s000022129_x1d.fits,4.468688421628421
CAPERS_COSMOS_P6_s000138787_x1d.fits,nan
CAPERS_COSMOS_P6_s000024135_x1d.fits,nan
CAPERS_COSMOS_P6_s000149850_x1d.fits,nan
CAPERS_COSMOS_P6_s000027494_x1d.fits,3.953899961881625
CAPERS_COSMOS_P6_s000027175_x1d.fits,nan
CAPERS_COSMOS_P6_s000021508_x1d.fits,nan
CAPERS_COSMOS_P6_s000141784_x1d.fits,3.1829862192093774
CAPERS_COSMOS_P6_s000148980_x1d.fits,nan
CAPERS_COSMOS_P6_s000140082_x1d.fits,nan
CAPERS_COSMOS_P6_s000141252_x1d.fits,nan
CAPERS_COSMOS_P6_s000017336_x1d.fits,nan
CAPERS_COSMOS_P6_s000027009_x1d.fits,4.896733815212413
CAPERS_COSMOS_P6_s000018263_x1d.fits,4.3796138993018685
CAPERS_COSMOS_P6_s000023853_x1d.fits,nan
CAPERS_COSMOS_P6_s000133412_x1d.fits,3.1639511995218417
CAPERS_COSMOS_P6_s000148088_x1d.fits,nan
CAPERS_COSMOS_P6_s000151013_x1d.fits,nan
CAPERS_COSMOS_P6_s000025121_x1d.fits,nan
CAPERS_COSMOS_P6_s000016627_x1d.fits,3.1904141404144504
CAPERS_COSMOS_P6_s000155828_x1d.fits,nan
CAPERS_COSMOS_P6_s000018241_x1d.fits,nan
CAPERS_COSMOS_P6_s000137488_x1d.fits,nan
CAPERS_COSMOS_P6_s000027242_x1d.fits,nan
CAPERS_COSMOS_P6_s000154875_x1d.fits,2.942431674071217
CAPERS_COSMOS_P6_s000024082_x1d.fits,nan
CAPERS_COSMOS_P6_s000024354_x1d.fits,nan
CAPERS_COSMOS_P6_s000160511_x1d.fits,nan
CAPERS_COSMOS_P6_s000027483_x1d.fits,3.307299953557451
CAPERS_COSMOS_P6_s000151755_x1d.fits,5.58821531082071
CAPERS_COSMOS_P6_s000027253_x1d.fits,3.4696707675050824
CAPERS_COSMOS_P6_s000017405_x1d.fits,nan
CAPERS_COSMOS_P6_s000022046_x1d.fits,0.8006994577873121
CAPERS_COSMOS_P6_s000022938_x1d.fits,1.5144453317266229
CAPERS_COSMOS_P6_s000020483_x1d.fits,nan
CAPERS_COSMOS_P6_s000024109_x1d.fits,2.299496985055789
CAPERS_COSMOS_P6_s000138698_x1d.fits,nan
CAPERS_COSMOS_P6_s000154514_x1d.fits,nan
CAPERS_COSMOS_P6_s000153767_x1d.fits,nan
CAPERS_COSMOS_P6_s000027335_x1d.fits,1.535619187896324
CAPERS_COSMOS_P6_s000140889_x1d.fits,nan
CAPERS_COSMOS_P6_s000139659_x1d.fits,nan
CAPERS_COSMOS_P6_s000018835_x1d.fits,2.6685713431320406
CAPERS_COSMOS_P6_s000144890_x1d.fits,nan
CAPERS_COSMOS_P6_s000017528_x1d.fits,3.768493481684236
CAPERS_COSMOS_P6_s000159174_x1d.fits,5.17471642925048
CAPERS_COSMOS_P6_s000140857_x1d.fits,nan
CAPERS_COSMOS_P6_s000021105_x1d.fits,3.035809903366732
CAPERS_COSMOS_P6_s000023107_x1d.fits,1.502504689072611
CAPERS_COSMOS_P6_s000017808_x1d.fits,0.5956213404276616
CAPERS_COSMOS_P6_s000019965_x1d.fits,2.48955303555552
CAPERS_COSMOS_P6_s000153516_x1d.fits,nan
CAPERS_COSMOS_P6_s000140430_x1d.fits,4.109433478311028
CAPERS_COSMOS_P6_s000017896_x1d.fits,nan
CAPERS_COSMOS_P6_s000148091_x1d.fits,3.740361803564122
CAPERS_COSMOS_P6_s000157189_x1d.fits,nan
CAPERS_COSMOS_P6_s000026552_x1d.fits,nan
CAPERS_COSMOS_P6_s000015613_x1d.fits,nan
CAPERS_COSMOS_P6_s000020864_x1d.fits,nan
CAPERS_COSMOS_P6_s000019021_x1d.fits,nan
CAPERS_COSMOS_P6_s000019777_x1d.fits,2.5707924878832964
CAPERS_COSMOS_P6_s000022876_x1d.fits,nan
CAPERS_COSMOS_P6_s000159412_x1d.fits,nan
CAPERS_COSMOS_P6_s000131157_x1d.fits,5.195739378871045
CAPERS_COSMOS_P6_s000153965_x1d.fits,8.932496101527198
CAPERS_COSMOS_P6_s000136567_x1d.fits,nan
CAPERS_COSMOS_P6_s000017763_x1d.fits,4.286466058723841
CAPERS_COSMOS_P6_s000138979_x1d.fits,nan
CAPERS_COSMOS_P6_s000159675_x1d.fits,nan
CAPERS_COSMOS_P6_s000021326_x1d.fits,3.5475284568035415
CAPERS_COSMOS_P6_s000149619_x1d.fits,nan
CAPERS_COSMOS_P6_s000020373_x1d.fits,4.477624713767425
CAPERS_COSMOS_P6_s000021568_x1d.fits,nan
CAPERS_COSMOS_P6_s000133472_x1d.fits,nan
CAPERS_COSMOS_P6_s000016497_x1d.fits,1.584815001521064
CAPERS_COSMOS_P6_s000161260_x1d.fits,nan
CAPERS_COSMOS_P6_s000141147_x1d.fits,nan
CAPERS_COSMOS_P6_s000017529_x1d.fits,nan
CAPERS_COSMOS_P6_s000154491_x1d.fits,nan
CAPERS_COSMOS_P6_s000131308_x1d.fits,nan
CAPERS_COSMOS_P6_s000024202_x1d.fits,3.117776939604825
CAPERS_COSMOS_P6_s000153619_x1d.fits,nan
CAPERS_COSMOS_P6_s000136555_x1d.fits,5.8120168834859225
CAPERS_COSMOS_P6_s000023920_x1d.fits,nan
CAPERS_COSMOS_P6_s000159255_x1d.fits,nan
CAPERS_COSMOS_P6_s000149920_x1d.fits,3.7615661529669007
CAPERS_COSMOS_P6_s000021378_x1d.fits,2.827512442815654
CAPERS_COSMOS_P6_s000023953_x1d.fits,1.3420882696445435
CAPERS_COSMOS_P6_s000014080_x1d.fits,3.7376924910306313
CAPERS_COSMOS_P6_s000140451_x1d.fits,nan
CAPERS_COSMOS_P6_s000145321_x1d.fits,5.190382460526942
CAPERS_COSMOS_P6_s000027219_x1d.fits,nan
CAPERS_COSMOS_P6_s000016182_x1d.fits,nan
CAPERS_COSMOS_P6_s000157894_x1d.fits,3.1640507191604117
CAPERS_COSMOS_P6_s000161571_x1d.fits,5.149280373626825
CAPERS_COSMOS_P6_s000027889_x1d.fits,nan
