,sample,id,pointing,MPT_number,z_manual,file_name,Notes
960,CAPERS_COSMOS_V0.2.1,s000039500,P3,39500,-1.0,CAPERS_COSMOS_P3_s000039500_x1d_optext.fits,None
961,CAPERS_COSMOS_V0.2.1,s000039574,P3,39574,-1.0,CAPERS_COSMOS_P3_s000039574_x1d_optext.fits,No lines but intense continuum
962,CAPERS_COSMOS_V0.2.1,s000039583,P2,39583,3.127583,CAPERS_COSMOS_P2_s000039583_x1d_optext.fits,None
963,CAPERS_COSMOS_V0.2.1,s000039588,P3,39588,2.580775,CAPERS_COSMOS_P3_s000039588_x1d_optext.fits,None
964,CAPERS_COSMOS_V0.2.1,s000039600,P2,39600,-1.0,CAPERS_COSMOS_P2_s000039600_x1d_optext.fits,None
965,CAPERS_COSMOS_V0.2.1,s000039643,P3,39643,6.04,CAPERS_COSMOS_P3_s000039643_x1d_optext.fits,None
966,CAPERS_COSMOS_V0.2.1,s000039729,P2,39729,0.767266,CAPERS_COSMOS_P2_s000039729_x1d_optext.fits,None
967,CAPERS_COSMOS_V0.2.1,s000039798,P3,39798,-1.0,CAPERS_COSMOS_P3_s000039798_x1d_optext.fits,No lines but intense continuum
968,CAPERS_COSMOS_V0.2.1,s000039810,P4,39810,3.65,CAPERS_COSMOS_P4_s000039810_x1d_optext.fits,None
969,CAPERS_COSMOS_V0.2.1,s000039810,P2,39810,3.65,CAPERS_COSMOS_P2_s000039810_x1d_optext.fits,None
970,CAPERS_COSMOS_V0.2.1,s000039810,MultiPointing,39810,3.65,CAPERS_COSMOS_s000039810_x1d_optext.fits,None
971,CAPERS_COSMOS_V0.2.1,s000039850,P3,39850,1.087226,CAPERS_COSMOS_P3_s000039850_x1d_optext.fits,None
972,CAPERS_COSMOS_V0.2.1,s000039948,P3,39948,5.29,CAPERS_COSMOS_P3_s000039948_x1d_optext.fits,None
973,CAPERS_COSMOS_V0.2.1,s000040049,P3,40049,-1.0,CAPERS_COSMOS_P3_s000040049_x1d_optext.fits,None
974,CAPERS_COSMOS_V0.2.1,s000040052,P3,40052,2.089208,CAPERS_COSMOS_P3_s000040052_x1d_optext.fits,None
975,CAPERS_COSMOS_V0.2.1,s000040069,P3,40069,-1.0,CAPERS_COSMOS_P3_s000040069_x1d_optext.fits,No lines but intense continuum
976,CAPERS_COSMOS_V0.2.1,s000040078,P3,40078,-1.0,CAPERS_COSMOS_P3_s000040078_x1d_optext.fits,None
977,CAPERS_COSMOS_V0.2.1,s000040096,P3,40096,-1.0,CAPERS_COSMOS_P3_s000040096_x1d_optext.fits,None
978,CAPERS_COSMOS_V0.2.1,s000040099,P2,40099,1.354138,CAPERS_COSMOS_P2_s000040099_x1d_optext.fits,None
979,CAPERS_COSMOS_V0.2.1,s000040106,P3,40106,-1.0,CAPERS_COSMOS_P3_s000040106_x1d.fits,None
980,CAPERS_COSMOS_V0.2.1,s000040108,P3,40108,-1.0,CAPERS_COSMOS_P3_s000040108_x1d_optext.fits,None
981,CAPERS_COSMOS_V0.2.1,s000040146,P3,40146,5.29,CAPERS_COSMOS_P3_s000040146_x1d_optext.fits,None
982,CAPERS_COSMOS_V0.2.1,s000040160,P3,40160,-1.0,CAPERS_COSMOS_P3_s000040160_x1d_optext.fits,None
983,CAPERS_COSMOS_V0.2.1,s000040161,P2,40161,6.86,CAPERS_COSMOS_P2_s000040161_x1d_optext.fits,None
984,CAPERS_COSMOS_V0.2.1,s000040245,P2,40245,4.95,CAPERS_COSMOS_P2_s000040245_x1d_optext.fits,None
985,CAPERS_COSMOS_V0.2.1,s000040329,P3,40329,-1.0,CAPERS_COSMOS_P3_s000040329_x1d_optext.fits,None
986,CAPERS_COSMOS_V0.2.1,s000040432,P3,40432,-1.0,CAPERS_COSMOS_P3_s000040432_x1d_optext.fits,None
987,CAPERS_COSMOS_V0.2.1,s000040453,P2,40453,3.018913,CAPERS_COSMOS_P2_s000040453_x1d_optext.fits,None
988,CAPERS_COSMOS_V0.2.1,s000040463,P3,40463,-1.0,CAPERS_COSMOS_P3_s000040463_x1d_optext.fits,No lines but intense continuum
989,CAPERS_COSMOS_V0.2.1,s000040487,P2,40487,-1.0,CAPERS_COSMOS_P2_s000040487_x1d_optext.fits,None
990,CAPERS_COSMOS_V0.2.1,s000040497,P3,40497,0.816946,CAPERS_COSMOS_P3_s000040497_x1d_optext.fits,None
991,CAPERS_COSMOS_V0.2.1,s000040555,P2,40555,3.0,CAPERS_COSMOS_P2_s000040555_x1d_optext.fits,None
992,CAPERS_COSMOS_V0.2.1,s000040580,P3,40580,3.15,CAPERS_COSMOS_P3_s000040580_x1d_optext.fits,None
993,CAPERS_COSMOS_V0.2.1,s000040585,P3,40585,4.522636,CAPERS_COSMOS_P3_s000040585_x1d_optext.fits,None
994,CAPERS_COSMOS_V0.2.1,s000040626,P2,40626,-1.0,CAPERS_COSMOS_P2_s000040626_x1d_optext.fits,None
995,CAPERS_COSMOS_V0.2.1,s000040661,P2,40661,0.682699,CAPERS_COSMOS_P2_s000040661_x1d_optext.fits,None
996,CAPERS_COSMOS_V0.2.1,s000040751,P2,40751,3.062236,CAPERS_COSMOS_P2_s000040751_x1d_optext.fits,None
997,CAPERS_COSMOS_V0.2.1,s000040757,P3,40757,4.536232,CAPERS_COSMOS_P3_s000040757_x1d_optext.fits,None
998,CAPERS_COSMOS_V0.2.1,s000040855,P2,40855,1.611457,CAPERS_COSMOS_P2_s000040855_x1d_optext.fits,None
999,CAPERS_COSMOS_V0.2.1,s000040861,P3,40861,0.599495,CAPERS_COSMOS_P3_s000040861_x1d_optext.fits,None
1000,CAPERS_COSMOS_V0.2.1,s000040875,P2,40875,2.696331,CAPERS_COSMOS_P2_s000040875_x1d.fits,None
1001,CAPERS_COSMOS_V0.2.1,s000040876,P2,40876,2.206698,CAPERS_COSMOS_P2_s000040876_x1d_optext.fits,Wide infrared components
1002,CAPERS_COSMOS_V0.2.1,s000040968,P3,40968,-1.0,CAPERS_COSMOS_P3_s000040968_x1d_optext.fits,None
1003,CAPERS_COSMOS_V0.2.1,s000040989,P3,40989,1.50486,CAPERS_COSMOS_P3_s000040989_x1d_optext.fits,None
1004,CAPERS_COSMOS_V0.2.1,s000041002,P3,41002,-1.0,CAPERS_COSMOS_P3_s000041002_x1d_optext.fits,None
