ID,ra,dec,z_med,z_UNICORN
160883,150.0761835,2.3948282,8.95,8.95
126965,150.1525243,2.3245724,8.92,8.92
38866,150.1377823,2.2761324,8.91,2.47
84886,150.1480705,2.2307574,8.87,2.29
93127,150.0736169,2.2513019,8.83,8.83
166865,150.123726,2.4701835,8.78,0.19
140857,150.1711811,2.3527884,8.65,8.65
169725,150.1313225,2.4585658,8.65,8.65
49540,150.1328346,2.2138126,8.61,1.24
175619,150.1622475,2.4402655,8.56,0.43
119398,150.1789038,2.3081567,8.47,8.47
30047,150.1133017,2.3198037,2.35,2.35
43198,150.1047896,2.2528111,0.82,0.82
9226,150.175938,2.4324301,,4.78
92399,150.1869282,2.2494324,,7.24
38491,150.1064404,2.2780339,,6.91
27219,150.1581983,2.3341304,,6.88
18111,150.1028383,2.3794034,,2.47
129985,150.1519945,2.3308738,,0.7
35805,150.0553608,2.2915883,,6.43
159412,150.175067,2.3913634,,8.14
32659,150.124025,2.3068265,,4.72
51918,150.1111692,2.199029,,7.36
34081,150.1788531,2.300008,,7.33
43711,150.1026261,2.2495968,,5.62
30440,150.1209104,2.3179337,,3.61
43390,150.0709151,2.2516876,,7.36
16252,150.1258204,2.3897145,,7.03
10051,150.1157517,2.4265975,,7.09
38872,150.1035656,2.2760722,,6.94
42262,150.1358221,2.257888,,4.66
36571,150.1715731,2.2872944,,4.63
50398,150.1087455,2.2087025,,3.43
28358,150.1537369,2.3279838,,2.65
34313,150.1676667,2.2987531,,2.11
46003,150.1668717,2.2358226,,1.75
37544,150.1472752,2.2823183,,1.72
43238,150.1493456,2.2525641,,5.44
55600,150.1322983,2.1696884,,6.25
18263,150.1758325,2.3787297,,4.78
18700,150.1039443,2.3763947,,6.46
40580,150.1067728,2.2669688,,3.4
104685,150.1428901,2.2771424,,19.21
108709,150.1631873,2.285511,,12.43
116303,150.0773556,2.3016088,,11.98
126400,150.1693634,2.3234412,,10.27
166475,150.164715,2.4703454,,9.25
110819,150.0966218,2.2900379,,8.59
107655,150.1524404,2.2834224,,8.59
11835,150.1189417,2.414938,,7.45
3555,150.1652571,2.4770125,,7.27
180082,150.0987996,2.4278429,,0.19
9924,150.1161674,2.4274553,,4.57
138698,150.1930236,2.3488423,,8.38
2783,150.1580404,2.4841958,,3.61
160387,150.1294041,2.3936676,,6.43
7860,150.1399052,2.4425018,,4.69
119733,150.1671468,2.3089052,,8.2
179520,150.1349921,2.4284797,,8.2
109997,150.1271609,2.2881479,,8.17
52597,150.146225,2.1942962,,6.16
148527,150.0980367,2.368172,,8.11
26737,150.1568055,2.3368351,,6.34
99128,150.1010716,2.2648086,,8.08
97664,150.0796807,2.261702,,8.11
9836,150.1131884,2.4281052,,4.93
52242,150.1107445,2.196793,,4.9
34709,150.1460653,2.2970393,,0.34
42911,150.0770096,2.2542727,,0.31
146943,150.1479356,2.3648366,,8.86
201574,150.1899107,2.2535946,,7.96
182522,150.087781,2.4196965,,7.93
112997,150.1433837,2.2948083,,7.36
118026,150.12551,2.3050699,,7.84
156103,150.1191636,2.3841765,,8.35
216118,150.0881048,2.3993252,,7.69
160463,150.1379381,2.3938476,,8.29
32191,150.1194175,2.3093274,,7.78
158708,150.1276924,2.389848,,7.63
130377,150.164948,2.3316665,,7.36
100433,150.1007928,2.2676688,,7.6
113528,150.1310102,2.2959563,,7.54
36513,150.167649,2.2875251,,4.51
50793,150.1151081,2.2064862,,6.49
52661,150.1417512,2.1938364,,6.85
40161,150.141778,2.2692549,,6.85
179189,150.1659476,2.435919,,7.33
42393,150.1560807,2.2572049,,6.31
161695,150.1131294,2.396903,,7.3
40876,150.141955,2.265092,,2.26
10452,150.1076778,2.423469,,5.23
32265,150.1685596,2.3089246,,6.67
33069,150.1656296,2.3049164,,6.67
189267,150.0753575,2.4019038,,6.67
49297,150.0979691,2.2151638,,5.2
84291,150.1419232,2.2292003,,6.61
32575,150.1182274,2.3072703,,6.1
104609,150.1502254,2.2769881,,7.09
112012,150.0996305,2.292781,,10.57
8201,150.1371182,2.4400753,,7.03
15656,150.1266183,2.3930562,,6.4
4612,150.1280904,2.4673325,,6.31
10639,150.1130996,2.4220924,,4.69
17277,150.1182514,2.3839465,,3.7
10621,150.1499835,2.4223014,,2.98
14113,150.1195727,2.4015188,,1.18
4495,150.1727151,2.468206,,0.94
79367,150.1001399,2.2162813,,6.97
37349,150.1458448,2.2836304,,6.97
51881,150.1190803,2.1991868,,5.95
109805,150.1464129,2.2877756,,6.94
35222,150.0964579,2.2930105,,1.9
72813,150.1503136,2.198816,,6.88
73892,150.1482347,2.2017668,,6.88
23561,150.1965334,2.3521618,,5.83
68858,150.1218942,2.1867185,,6.82
80959,150.1320109,2.2205072,,6.82
68973,150.1496099,2.1870774,,6.79
160593,150.1866539,2.3941227,,6.79
70273,150.1448525,2.1910739,,6.76
36541,150.1461158,2.2875001,,6.76
114183,150.0870171,2.2972861,,6.76
150920,150.1597662,2.3727391,,6.76
155681,150.1439028,2.3831895,,6.76
211050,150.1476996,2.3642558,,6.76
215109,150.1021814,2.4251591,,7.9
181412,150.1556025,2.4218291,,15.01
49520,150.1432459,2.2138928,,6.73
180187,150.1170273,2.4273385,,6.73
44035,150.1500993,2.2478489,,6.7
103239,150.1404949,2.2738932,,6.7
130956,150.1558421,2.3328516,,6.7
170802,150.1322736,2.449465,,8.08
105156,150.1754355,2.2781918,,6.67
113692,150.0873643,2.2963018,,6.67
139396,150.1866234,2.3500354,,6.67
159413,150.168941,2.3913662,,6.67
9071,150.1262021,2.4334795,,6.67
177191,150.1469795,2.437442,,6.67
48435,150.1431611,2.2201374,,6.64
73646,150.1140019,2.201063,,6.64
115733,150.171124,2.3005319,,6.64
38903,150.1004786,2.275922,,6.64
102449,150.0573095,2.2721097,,6.64
113757,150.0818756,2.2963829,,6.64
110319,150.1345784,2.2888614,,6.64
192934,150.0778731,2.3971195,,6.64
