file,z
CAPERS_EGS_P3_s000093077_x1d.fits,nan
CAPERS_EGS_P3_s000016722_x1d.fits,2.3815711325982005
CAPERS_EGS_P3_s000074391_x1d.fits,1.0993951077896464
CAPERS_EGS_P3_s000057316_x1d.fits,nan
CAPERS_EGS_P3_s000225761_x1d.fits,4.097821166046203
CAPERS_EGS_P3_s000090103_x1d.fits,nan
CAPERS_EGS_P3_s000092077_x1d.fits,nan
CAPERS_EGS_P3_s000009253_x1d.fits,nan
CAPERS_EGS_P3_s000005717_x1d.fits,nan
CAPERS_EGS_P3_s000210347_x1d.fits,3.2144543209879703
CAPERS_EGS_P3_s000008321_x1d.fits,2.8214069885505
CAPERS_EGS_P3_s000239291_x1d.fits,nan
CAPERS_EGS_P3_s000092582_x1d.fits,nan
CAPERS_EGS_P3_s000004469_x1d.fits,1.1851135430022852
CAPERS_EGS_P3_s000004704_x1d.fits,2.0072220599839423
CAPERS_EGS_P3_s000002153_x1d.fits,2.2902232543117624
CAPERS_EGS_P3_s000013025_x1d.fits,nan
CAPERS_EGS_P3_s000212672_x1d.fits,nan
CAPERS_EGS_P3_s000088158_x1d.fits,nan
CAPERS_EGS_P3_s000225208_x1d.fits,nan
CAPERS_EGS_P3_s000014282_x1d.fits,2.277770721057658
CAPERS_EGS_P3_s000227273_x1d.fits,nan
CAPERS_EGS_P3_s000090888_x1d.fits,nan
CAPERS_EGS_P3_s000011272_x1d.fits,nan
CAPERS_EGS_P3_s000239573_x1d.fits,nan
CAPERS_EGS_P3_s000097988_x1d.fits,5.784593270928268
CAPERS_EGS_P3_s000082971_x1d.fits,nan
CAPERS_EGS_P3_s000019952_x1d.fits,nan
CAPERS_EGS_P3_s000012853_x1d.fits,5.771990941959821
CAPERS_EGS_P3_s000010229_x1d.fits,nan
CAPERS_EGS_P3_s000074790_x1d.fits,nan
CAPERS_EGS_P3_s000086601_x1d.fits,nan
CAPERS_EGS_P3_s000075350_x1d.fits,nan
CAPERS_EGS_P3_s000210881_x1d.fits,0.8119839986165365
CAPERS_EGS_P3_s000215458_x1d.fits,0.6433352152506511
CAPERS_EGS_P3_s000095786_x1d.fits,nan
CAPERS_EGS_P3_s000103572_x1d.fits,nan
CAPERS_EGS_P3_s000021888_x1d.fits,1.4065507470008423
CAPERS_EGS_P3_s000235624_x1d.fits,2.20741248606691
CAPERS_EGS_P3_s000012107_x1d.fits,nan
CAPERS_EGS_P3_s000224845_x1d.fits,nan
CAPERS_EGS_P3_s000003583_x1d.fits,2.2942694315691647
CAPERS_EGS_P3_s000011005_x1d.fits,nan
CAPERS_EGS_P3_s000092733_x1d.fits,6.966294550921121
CAPERS_EGS_P3_s000005528_x1d.fits,4.552234920123058
CAPERS_EGS_P3_s000074562_x1d.fits,nan
