ID,ra,dec,z_med,z_UNICORN,flux_F277W,MSA_weight,pointing,n_nods_vis1,n_nods_vis2,n_nods_vis3,eff_exp_time,shutter_centering
35676,214.9827715,52.8460777,,3.01,27.777,32,[6],[0],[6],[0],5689.6671,['Midpoint']
12277,214.8641153,52.8537613,,3.01,25.107,32,[7],[0],[6],[0],5689.6671,['Midpoint']
15540,214.8746379,52.839994,,3.01,26.795,32,[7],[0],[6],[6],11379.3342,['Midpoint']
19911,214.8744029,52.813135,,3.01,24.995,32,[7],[6],[0],[6],11379.3342,['Midpoint']
20217,214.9410234,52.8592088,,3.01,27.469,32,[7],[0],[0],[6],5689.6671,['Midpoint']
97675,214.8706191,52.8406704,,3.01,27.551,32,[7],[0],[0],[6],5689.6671,['Midpoint']
227123,214.8921023,52.9184393,,3.0,-1.0,32,[3],[0],[6],[0],5689.6671,['Midpoint']
233407,214.8293396,52.7576606,,3.0,-1.0,32,[5],[0],[6],[0],5689.6671,['Midpoint']
55482,214.8716097,52.8102201,,3.01,28.007,31,[7],[0],[0],[5],4741.38925,['EOSA']
227974,214.8856219,52.9176745,,3.0,-1.0,31,[3],[6],[0],[0],5689.6671,['Midpoint']
73945,215.0057381,53.0040659,,2.98,27.93,31,[1],[0],[6],[0],5689.6671,['Midpoint']
219904,214.9946116,52.9542447,,2.98,-1.0,31,[1],[6],[6],[0],11379.3342,['Midpoint']
4670,214.8795853,52.9051299,,2.98,25.222,31,[3],[0],[0],[6],5689.6671,['Midpoint']
8321,214.929948,52.9214573,,2.98,24.06,31,[3],[6],[0],[0],5689.6671,['Midpoint']
17437,214.9407903,52.8747524,,2.98,23.837,31,[3],[0],[0],[6],5689.6671,['Midpoint']
12370,214.8209326,52.8222482,,2.98,24.539,31,[4],[6],[0],[0],5689.6671,['Midpoint']
212017,214.8645351,52.8203348,,2.97,-1.0,31,[7],[4],[0],[0],3793.1114,['Midpoint']
215948,214.8787175,52.8516915,,2.97,-1.0,31,[7],[0],[0],[6],5689.6671,['Midpoint']
59059,214.9263232,52.8585645,,6.73,28.884,30,[6],[6],[0],[0],5689.6671,['Midpoint']
74532,214.8786309,52.9115167,,6.58,28.813,30,[3],[0],[6],[0],5689.6671,['Midpoint']
34107,214.9753382,52.8370666,,4.9,28.389,30,[6],[6],[0],[6],11379.3342,['Midpoint']
219132,215.061135,52.9966787,,2.95,-1.0,30,[1],[0],[0],[6],5689.6671,['Midpoint']
4652,214.9473481,52.9542079,,2.95,23.72,30,[2],[0],[0],[6],5689.6671,['Midpoint']
7648,214.9437711,52.9347296,,2.95,24.02,30,[2],[0],[6],[0],5689.6671,['Midpoint']
7891,214.9293699,52.9233339,,2.95,24.904,30,[2],[6],[0],[6],11379.3342,['Midpoint']
25929,214.9075774,52.8099168,,2.95,25.529,30,[7],[6],[0],[0],5689.6671,['Midpoint']
226197,214.9662881,52.9664114,,2.93,-1.0,29,[2],[0],[0],[6],5689.6671,['Midpoint']
215211,214.8816588,52.8501583,,2.93,-1.0,29,[4],[6],[0],[6],11379.3342,['Midpoint']
221882,214.9996746,52.9675788,,2.92,-1.0,29,[1],[6],[0],[0],5689.6671,['Midpoint']
215653,214.9986716,52.9353566,,2.92,-1.0,29,[2],[0],[0],[6],5689.6671,['Midpoint']
3066,214.8771097,52.9128096,,2.92,22.891,29,[3],[6],[0],[0],5689.6671,['Midpoint']
17311,214.9369938,52.8730544,,2.92,26.541,29,[3],[4],[6],[0],9482.7785,['Midpoint']
18575,214.9264296,52.857866,,2.92,24.923,29,[6],[0],[6],[0],5689.6671,['Midpoint']
224467,214.9913243,52.9750479,,2.91,-1.0,29,[2],[6],[0],[0],5689.6671,['Midpoint']
213985,214.947711,52.8903037,,2.91,-1.0,29,[6],[6],[0],[0],5689.6671,['EOSA']
83498,215.042758,53.0018955,,6.16,28.652,28,[1],[0],[6],[0],5689.6671,['Midpoint']
73422,214.7882243,52.848927,,4.75,28.4,28,[4],[6],[0],[0],5689.6671,['EOSA']
236079,215.062268,52.9712141,,2.89,-1.0,28,[1],[0],[6],[0],5689.6671,['Midpoint']
15979,214.9389441,52.8827268,,2.89,23.307,28,[6],[0],[0],[6],5689.6671,['Midpoint']
29169,214.9738841,52.842623,,2.89,25.842,28,[6],[0],[0],[6],5689.6671,['Midpoint']
231346,214.7894337,52.8597991,,2.88,-1.0,28,[4],[6],[6],[0],11379.3342,['Midpoint']
90165,214.8482802,52.8479808,,5.47,29.026,27,[4],[6],[6],[6],17069.0013,['EOSA']
235518,214.9609567,52.8898925,,2.87,-1.0,27,[6],[0],[0],[6],5689.6671,['EOSA']
3261,214.9520576,52.9658839,,2.86,26.954,27,[2],[0],[6],[0],5689.6671,['Midpoint']
19470,214.9642172,52.8786481,,2.86,22.529,27,[3],[0],[6],[0],5689.6671,['Midpoint']
13681,214.8775037,52.8542404,,2.86,24.31,27,[7],[0],[0],[6],5689.6671,['Midpoint']
58110,214.9080815,52.8427517,,6.13,28.918,26,[6],[6],[6],[0],11379.3342,['Midpoint']
51861,214.8773761,52.8064801,,6.13,28.663,26,[7],[0],[6],[0],5689.6671,['Midpoint']
35276,214.9786902,52.8423036,,3.4,28.116,26,[6],[0],[0],[6],5689.6671,['Midpoint']
218155,215.0185066,52.9623109,,2.84,-1.0,26,[1],[0],[6],[0],5689.6671,['Midpoint']
227600,214.795923,52.850265,,2.84,-1.0,26,[4],[0],[6],[0],5689.6671,['Midpoint']
1831,214.9442281,52.9678253,,2.83,25.604,26,[2],[2],[2],[0],3793.1114,['Midpoint']
4984,214.9070265,52.924146,,2.83,27.054,26,[3],[0],[0],[6],5689.6671,['Midpoint']
221411,214.7983439,52.8218248,,2.82,-1.0,26,[4],[6],[0],[0],5689.6671,['Midpoint']
24260,214.9973009,52.8807583,,3.4,28.12,25,[6],[6],[0],[0],5689.6671,['Midpoint']
78240,214.9303785,52.9365583,,3.04,28.051,25,[2],[0],[0],[6],5689.6671,['Midpoint']
224726,214.9830964,52.9697915,,2.81,-1.0,25,[2],[0],[2],[0],1896.5557,['EOSA']
6079,214.8840152,52.9014096,,2.8,25.842,25,[3],[0],[6],[4],9482.7785,['Midpoint']
15853,214.8697041,52.8343776,,2.8,25.885,25,[4],[0],[0],[6],5689.6671,['Midpoint']
219261,215.0083733,52.9599293,,2.79,-1.0,25,[1],[6],[0],[0],5689.6671,['Midpoint']
234455,214.8126038,52.7650364,,2.78,-1.0,25,[5],[0],[6],[0],5689.6671,['Midpoint']
209532,214.9256269,52.8513804,,2.78,-1.0,25,[7],[2],[0],[0],1896.5557,['EOSA']
87451,214.9516512,52.9254854,,4.12,28.271,24,[2],[0],[6],[0],5689.6671,['Midpoint']
68978,214.9868995,53.0006757,,3.82,28.826,24,[1],[6],[0],[0],5689.6671,['Midpoint']
219439,214.9977522,52.9537266,,2.78,-1.0,24,[1],[4],[0],[0],3793.1114,['Midpoint']
222811,214.9950693,52.9689238,,2.78,-1.0,24,[1],[0],[6],[6],11379.3342,['EOSA']
3113,214.9564246,52.9698378,,2.77,27.236,24,[2],[0],[6],[0],5689.6671,['Midpoint']
2860,214.7865994,52.8503711,,2.77,27.105,24,[4],[0],[0],[6],5689.6671,['Midpoint']
211953,214.8644507,52.8200896,,2.77,-1.0,24,[4],[6],[0],[0],5689.6671,['Midpoint']
219273,215.0556723,52.9936487,,2.76,-1.0,24,[1],[0],[0],[6],5689.6671,['Midpoint']
200909,214.9431145,52.8138566,,2.76,-1.0,24,[7],[0],[6],[0],5689.6671,['Midpoint']
240728,214.9951664,53.0039972,,2.75,-1.0,24,[1],[0],[0],[6],5689.6671,['Midpoint']
212932,215.0096746,52.9285058,,2.75,-1.0,24,[2],[6],[0],[0],5689.6671,['Midpoint']
210390,214.9250733,52.855357,,2.74,-1.0,24,[7],[0],[0],[6],5689.6671,['Midpoint']
11584,214.8842481,52.8716121,,3.16,28.084,23,[3],[0],[0],[2],1896.5557,['Midpoint']
44337,214.9978535,52.8756859,,3.16,28.086,23,[6],[6],[0],[0],5689.6671,['Midpoint']
1644,214.9347359,52.9619958,,2.74,26.406,23,[2],[6],[0],[0],5689.6671,['Midpoint']
62321,214.8893336,52.8416109,,2.74,27.879,23,[7],[0],[6],[0],5689.6671,['Midpoint']
