mask,id,redshift,QOP
6,044214,5.80494,1
6,044337,3.31108,4
6,044357,6.02866,1
6,044376,6.73704,1
6,044426,5.98913,2
6,044513,2.55817,1
6,044563,3.66048,3
6,045856,8.34426,3
6,045942,5.76877,1
6,046316,2.96371,3
6,046822,5.73271,1
6,047002,4.40052,1
6,047247,2.70212,1
6,047547,3.00456,2
6,047626,6.62646,1
6,047639,0.78286,1
6,047651,4.57222,3
6,047656,0.65314,1
6,047772,2.2919,3
6,047987,5.32226,3
6,048374,3.42653,1
6,048388,2.28045,1
6,048680,6.18904,4
6,048767,4.40376,3
6,048806,2.2576,1
6,048876,1.71419,1
6,048895,9.21349,3
6,049501,2.68931,1
6,050190,6.1703,1
6,050262,4.00861,1
6,050323,5.01005,1
6,050479,6.01761,3
6,050674,3.34701,1
6,051114,5.92027,1
6,052277,6.17955,4
6,052344,1.65974,1
6,052496,1.9802,1
6,052792,4.18464,1
6,052934,3.24279,3
6,053068,6.1897,2
6,053143,3.63902,2
6,053198,5.13353,1
6,053687,4.37316,1
6,053845,2.74131,1
6,054032,4.56442,3
6,054262,3.50805,3
6,054508,2.865,1
6,054605,2.10824,3
6,054632,7.85465,1
6,054899,6.12296,1
6,054994,3.6447,3
6,055097,1.33957,1
6,055169,1.18244,1
6,055434,3.44227,3
6,055721,3.81278,1
6,055806,1.65937,1
6,056226,5.73181,1
6,056526,4.02812,1
6,057595,1.44789,1
6,057653,3.24334,1
6,057733,6.05975,3
6,057756,5.33328,1
6,057821,2.02919,1
6,058110,0.94257,1
6,058345,1.04445,1
6,058660,4.28709,1
6,058768,1.13054,1
6,058970,3.12659,1
6,058981,6.62643,1
6,059059,5.95935,1
6,059176,4.05314,1
6,059481,2.39792,2
6,059680,5.94082,2
6,059800,5.5824,1
6,059889,3.6468,1
6,060197,4.27857,3
6,060938,3.65584,1
6,060967,4.70201,1
6,061381,6.497,1
6,061543,3.86987,2
6,061547,1.07626,1
6,061554,3.34833,3
6,061660,3.2374,1
6,061806,3.06802,1
6,061873,2.52159,1
6,061927,6.46256,1
6,061940,1.80011,2
6,062079,4.23366,4
6,062277,2.95055,3
6,062280,3.56114,1
6,062835,2.34131,4
6,063253,7.17144,3
6,063316,5.00148,3
6,063563,5.27215,3
6,063964,5.28346,3
6,064876,1.61119,1
6,065142,1.17509,1
6,065717,3.31574,1
6,065830,2.30704,1
6,067086,6.52797,1
6,088990,6.44767,1
6,095949,5.34177,1
6,200301,0.57982,3
6,200429,1.82711,4
6,200436,3.47407,4
6,200623,1.89159,4
6,200784,1.40825,4
6,200848,1.45711,4
6,201975,2.4019,4
6,205600,0.71847,1
6,206797,2.17843,2
6,207338,1.41015,4
6,209838,3.50882,4
6,210761,1.85223,4
6,211151,2.99899,1
6,211318,1.38286,4
6,211566,2.64881,3
6,211693,1.83239,1
6,211782,2.3139,4
6,211824,0.93075,3
6,211964,2.42049,3
6,213095,4.28587,1
6,213280,1.10198,1
6,213430,2.16686,3
6,213609,1.37962,2
6,213622,1.40092,4
6,213806,0.81739,2
6,213985,3.30076,2
6,214391,1.46472,4
6,215180,2.06113,4
6,215349,1.20554,2
6,215584,2.14443,3
6,216184,3.25093,4
6,216284,6.33907,1
6,232072,1.47654,2
6,232086,1.23404,1
6,233538,1.70098,2
6,234997,6.41253,1
6,235125,1.60148,1
6,235518,3.65985,1
6,235595,2.01441,4
6,235949,3.84933,4
6,236387,3.61401,1
