file,zfit,ID,Field,Pointing
CAPERS-COSMOS_P1_s000051307_x1d.fits,3.01,51307,COSMOS,1
CAPERS-COSMOS_P1_s000051365_x1d.fits,2.57,51365,COSMOS,1
CAPERS-COSMOS_P1_s000051366_x1d.fits,0.8,51366,COSMOS,1
CAPERS-COSMOS_P1_s000051457_x1d.fits,1.37,51457,COSMOS,1
CAPERS-COSMOS_P1_s000051570_x1d.fits,0.93,51570,COSMOS,1
CAPERS-COSMOS_P1_s000051675_x1d.fits,3.04,51675,COSMOS,1
CAPERS-COSMOS_P1_s000051684_x1d.fits,0.86,51684,COSMOS,1
CAPERS-COSMOS_P1_s000051688_x1d.fits,0.68,51688,COSMOS,1
CAPERS-COSMOS_P1_s000051751_x1d.fits,6.5,51751,COSMOS,1
CAPERS-COSMOS_P1_s000051757_x1d.fits,0.65,51757,COSMOS,1
CAPERS-COSMOS_P1_s000051813_x1d.fits,1.14,51813,COSMOS,1
CAPERS-COSMOS_P1_s000051842_x1d.fits,0.87,51842,COSMOS,1
CAPERS-COSMOS_P1_s000051844_x1d.fits,0.61,51844,COSMOS,1
CAPERS-COSMOS_P1_s000051881_x1d.fits,5.83,51881,COSMOS,1
CAPERS-COSMOS_P1_s000051899_x1d.fits,5.09,51899,COSMOS,1
CAPERS-COSMOS_P1_s000051918_x1d.fits,7.13,51918,COSMOS,1
CAPERS-COSMOS_P1_s000051941_x1d.fits,0.82,51941,COSMOS,1
CAPERS-COSMOS_P1_s000051952_x1d.fits,0.85,51952,COSMOS,1
CAPERS-COSMOS_P1_s000051964_x1d.fits,3.09,51964,COSMOS,1
CAPERS-COSMOS_P1_s000052101_x1d.fits,2.1,52101,COSMOS,1
CAPERS-COSMOS_P1_s000052174_x1d.fits,1.28,52174,COSMOS,1
CAPERS-COSMOS_P1_s000052185_x1d.fits,9.8,52185,COSMOS,1
CAPERS-COSMOS_P1_s000052187_x1d.fits,4.91,52187,COSMOS,1
CAPERS-COSMOS_P1_s000052242_x1d.fits,4.91,52242,COSMOS,1
CAPERS-COSMOS_P1_s000052247_x1d.fits,0.93,52247,COSMOS,1
CAPERS-COSMOS_P1_s000052267_x1d.fits,1.85,52267,COSMOS,1
CAPERS-COSMOS_P1_s000052324_x1d.fits,0.85,52324,COSMOS,1
CAPERS-COSMOS_P1_s000052332_x1d.fits,0.92,52332,COSMOS,1
CAPERS-COSMOS_P1_s000052405_x1d.fits,0.49,52405,COSMOS,1
CAPERS-COSMOS_P1_s000052416_x1d.fits,3.85,52416,COSMOS,1
CAPERS-COSMOS_P1_s000052465_x1d.fits,1.16,52465,COSMOS,1
CAPERS-COSMOS_P1_s000052514_x1d.fits,2.07,52514,COSMOS,1
CAPERS-COSMOS_P1_s000052529_x1d.fits,2.9,52529,COSMOS,1
CAPERS-COSMOS_P1_s000052548_x1d.fits,0.8,52548,COSMOS,1
CAPERS-COSMOS_P1_s000052583_x1d.fits,0.63,52583,COSMOS,1
CAPERS-COSMOS_P1_s000052597_x1d.fits,5.84,52597,COSMOS,1
CAPERS-COSMOS_P1_s000052627_x1d.fits,4.06,52627,COSMOS,1
CAPERS-COSMOS_P1_s000052661_x1d.fits,6.76,52661,COSMOS,1
CAPERS-COSMOS_P1_s000052739_x1d.fits,1.0,52739,COSMOS,1
CAPERS-COSMOS_P1_s000052881_x1d.fits,2.9,52881,COSMOS,1
CAPERS-COSMOS_P1_s000053086_x1d.fits,0.79,53086,COSMOS,1
CAPERS-COSMOS_P1_s000053276_x1d.fits,1.06,53276,COSMOS,1
CAPERS-COSMOS_P1_s000053385_x1d.fits,3.83,53385,COSMOS,1
CAPERS-COSMOS_P1_s000053536_x1d.fits,1.69,53536,COSMOS,1
CAPERS-COSMOS_P1_s000053606_x1d.fits,3.96,53606,COSMOS,1
CAPERS-COSMOS_P1_s000053711_x1d.fits,0.25,53711,COSMOS,1
CAPERS-COSMOS_P1_s000053724_x1d.fits,0.68,53724,COSMOS,1
CAPERS-COSMOS_P1_s000053726_x1d.fits,0.97,53726,COSMOS,1
CAPERS-COSMOS_P1_s000053730_x1d.fits,0.92,53730,COSMOS,1
CAPERS-COSMOS_P1_s000053814_x1d.fits,1.25,53814,COSMOS,1
CAPERS-COSMOS_P1_s000053830_x1d.fits,2.98,53830,COSMOS,1
CAPERS-COSMOS_P1_s000053872_x1d.fits,0.02,53872,COSMOS,1
CAPERS-COSMOS_P1_s000053876_x1d.fits,4.53,53876,COSMOS,1
CAPERS-COSMOS_P1_s000053989_x1d.fits,0.25,53989,COSMOS,1
CAPERS-COSMOS_P1_s000054012_x1d.fits,0.67,54012,COSMOS,1
CAPERS-COSMOS_P1_s000054014_x1d.fits,3.13,54014,COSMOS,1
CAPERS-COSMOS_P1_s000054115_x1d.fits,4.63,54115,COSMOS,1
CAPERS-COSMOS_P1_s000054132_x1d.fits,4.61,54132,COSMOS,1
CAPERS-COSMOS_P1_s000054175_x1d.fits,1.79,54175,COSMOS,1
CAPERS-COSMOS_P1_s000054195_x1d.fits,0.83,54195,COSMOS,1
CAPERS-COSMOS_P1_s000054225_x1d.fits,6.26,54225,COSMOS,1
CAPERS-COSMOS_P1_s000054267_x1d.fits,2.85,54267,COSMOS,1
CAPERS-COSMOS_P1_s000054300_x1d.fits,2.56,54300,COSMOS,1
CAPERS-COSMOS_P1_s000054304_x1d.fits,0.43,54304,COSMOS,1
CAPERS-COSMOS_P1_s000054319_x1d.fits,2.06,54319,COSMOS,1
CAPERS-COSMOS_P1_s000054323_x1d.fits,0.85,54323,COSMOS,1
