id;bayes.universe.redshift;bayes.universe.redshift_err;best.universe.redshift;best.chi_square;best.reduced_chi_square
3540;1.0399950499636508;0.0032288966734199277;1.04;405.68574701937365;1.0296592563943494
4166;5.779999999946077;7.343202175118796e-07;5.78;767.9128211590527;1.9245935367394804
4275;6.846536245551851;0.004758145607588852;6.8500000000000005;283.0836192217885;0.9596054888874187
4337;1.887966457258448;0.017752328449286148;1.8900000000000001;310.8540743720456;0.7991107310335362
4557;3.570000000000068;3.646555325417974e-08;3.5700000000000003;489.7484717488073;1.288811767760019
4613;5.260000000000004;5.7709515478431335e-09;5.26;380.32269100064616;1.0169055909108187
4679;1.9200558525143592;0.0008193483130993906;1.92;260.10403201186216;0.6954653262349255
4854;4.549999991559719;9.187095817655163e-06;4.55;609.7024480068313;1.5474681421493182
4988;1.1099979569257383;0.00014341165729347768;1.11;292.2662064599785;0.7793765505599426
5010;1.3699214485210174;0.0008828246877661284;1.37;334.7684847094871;0.8327574246504654
5038;1.328392559175219;0.010048727765318642;1.33;348.0038861260894;0.861395757737845
5146;0.6580636852790674;0.0763565942769215;0.45;214.78002888891928;0.7256082057058084
5301;1.7881950490111749;0.06394819726533199;1.78;251.13705399418907;0.6899369615224975
5304;0.040000000000000015;3.9551163660910864e-12;0.04;310.65842855488074;0.8006660529764967
5378;2.9800112968631307;0.0004903348189421849;2.98;338.63257135169647;0.8795651203940168
5430;0.3699999397381999;8.426310531845398e-05;0.37;491.2130092016396;1.2926658136885252
5474;0.7899930358115872;0.00026882438003728373;0.79;323.67735270514055;0.9274422713614342
5510;4.549999999999987;1.154231142984703e-08;4.55;630.4263478395142;1.5643333693288193
5643;7.277236692990604;0.05773654706349604;7.32;387.4947149272932;1.011735548113037
5645;1.04;2.0346659611666935e-10;1.04;260.20866890194816;0.6472852460247467
5657;3.62000011887582;3.447816824809723e-05;3.62;393.4509006972337;0.9738883680624596
5703;2.1;1.5370588471302147e-15;2.1;421.64478757479225;1.0436752167692878
5752;16.189219992282894;6.622938391673995;2.1;157.49826941131818;0.6225228039973051
5811;3.1001302460938294;0.001133797553944829;3.1;317.82778800324684;0.7867024455525912
5922;0.9199998620338574;0.0001966148946283238;0.92;276.5448809542874;0.7164375154256151
5933;0.96;1.7106586343996385e-09;0.96;600.6071367898485;1.4829805846662925
6009;1.6573828300647813;0.020741917042685357;1.6500000000000001;288.88336957584846;0.756239187371331
6050;2.2900056836785447;0.00041632481140034257;2.29;492.2571844331316;1.2154498381064978
6054;3.569999999999997;6.0276557259423135e-09;3.5700000000000003;418.1586273546476;1.0917979826492104
6267;6.2600000000000104;1.0290605802365734e-08;6.26;560.058078741276;1.4855651956002014
6309;0.9199999999999999;1.1102233767424453e-16;0.92;471.0513700814786;1.2696802428072198
6363;3.9599998716517533;3.582549373291632e-05;3.96;473.65906627218993;1.5948116709501345
6445;1.090000000633308;4.704335329525311e-06;1.09;274.4790897068043;0.6844865079970182
6543;1.7534826728763775;0.007404422303242279;1.75;283.66419243901186;0.7038813708164066
6582;0.6905400159681385;0.004360950137905461;0.6900000000000001;326.7374326593057;0.8399419862707087
6673;1.0457710454670468;0.007989642492565096;1.05;319.08584027969437;0.7898164363358772
6684;0.23470530248882296;0.027908513428848446;0.2;389.19433675809546;1.1758137062178111
6802;1.5942244152229104;0.004962353848965194;1.59;300.5274827843913;0.7765568030604426
6806;1.9805707174591383;0.002319796580138257;1.98;222.54411776544075;0.554972862257957
6814;1.229553267133531;0.0020659750243993066;1.23;258.00290603378016;0.6386210545390598
6820;4.200000002813824;7.481197743460168e-06;4.2;628.955683748076;1.5568209993764257
7032;1.9702192471949207;0.0014661550857522129;1.97;287.65794095687;0.7137914167664268
7192;1.2000070593864458;0.00037064614677530337;1.2;352.88872288072366;0.8911331385876861
7348;2.6113910300383636;0.0034867202186983724;2.61;344.7778234440259;0.853410454069371
7353;3.5900000000000003;7.103891441969176e-14;3.59;541.2434129241803;1.3531085323104508
7366;1.3765848933993237;0.008672086791513251;1.3800000000000001;315.2423369936553;0.8021433511288938
7381;1.2299999999999995;7.602173390996314e-13;1.23;390.7709250873645;0.9672547650677339
7530;0.9199999999999998;2.4078510296187197e-11;0.92;173.40422570464824;0.4281585819867858
7541;4.6300000000000034;7.70833676657763e-12;4.63;484.9719829111966;1.2246767245232237
7555;1.2772996781274615;0.7963992643373299;1.25;194.73273706463746;0.7239135206863846
7583;2.5300000000011935;1.0928251734598464e-07;2.5300000000000002;389.9015629599845;0.9699043854725983
7599;1.9199976032684123;0.00015775405817802595;1.92;394.16408269004944;0.9953638451768926
7631;2.009772122690565;0.006356969051480336;2.0100000000000002;665.0487710100485;1.6461603242822984
7893;4.199999820868786;4.232409834521372e-05;4.2;480.75656491963537;1.2552390728972203
7979;3.6;2.5495549563226554e-12;3.6;276.81785935222786;1.0445956956687843
7980;3.596765721176068;0.004677844453205928;3.6;272.2374174987885;1.0196157958756122
8393;2.1;5.6272099631316e-10;2.1;603.2370116911361;1.500589581321234
8559;1.7504252222168888;0.006755979063316445;1.75;293.0130981663257;0.7571397885434772
8776;1.1004932620427976;0.0021978063442513584;1.1;220.06055571074134;0.6251720332691515
8867;2.250355240995821;0.012514502999074587;2.25;152.8911536827745;0.4496798637728662
8872;2.2473093620857987;0.009359042914047348;2.24;388.6678953515743;0.9965843470553187
8903;3.2900000000004117;1.1894089308817423e-07;3.29;630.354567979443;1.5719565286270398
8905;4.920524890401628;0.0022301107781000536;4.92;97.53857496470064;0.7225079627014862
8972;2.864879109113547;0.004999114234695966;2.86;222.11087554469327;0.5497793949126071
8984;;;0.0;;
8993;0.6222401714113328;0.03198892460338287;0.62;338.0213082486388;0.903800289434863
9021;1.256096529688872;0.6356904981819774;1.24;222.8265033622793;0.8440397854631793
9025;1.8200003038470631;5.551830165629396e-05;1.82;203.62612175926407;0.5040250538595645
9068;10.01362731604521;6.542713665306184;3.88;8.557238071121896;0.20374376359814036
9082;3.5459285908485776;0.004913015278419681;3.5500000000000003;347.57437194346153;0.8866693161822998
9159;0.8600000000000002;1.5749434762401051e-16;0.86;222.77238343065898;0.551416790669948
9160;2.4900000000002414;4.909362273174398e-08;2.49;513.5347377878704;1.471446240079858
9277;1.6099999999999999;1.2756318569905185e-10;1.61;228.88998317954636;0.5665593643058078
