file,z
CAPERS_UDS_P3_s000009505_x1d.fits,1.882091351938219
CAPERS_UDS_P3_s000126973_x1d.fits,nan
CAPERS_UDS_P3_s000140033_x1d.fits,nan
CAPERS_UDS_P3_s000003587_x1d.fits,nan
CAPERS_UDS_P3_s000011066_x1d.fits,nan
CAPERS_UDS_P3_s000013236_x1d.fits,nan
CAPERS_UDS_P3_s000012066_x1d.fits,1.2583224946256881
CAPERS_UDS_P3_s000013583_x1d.fits,nan
CAPERS_UDS_P3_s000134606_x1d.fits,nan
CAPERS_UDS_P3_s000142369_x1d.fits,nan
CAPERS_UDS_P3_s000128033_x1d.fits,nan
CAPERS_UDS_P3_s000010444_x1d.fits,4.109858698584921
CAPERS_UDS_P3_s000003727_x1d.fits,nan
CAPERS_UDS_P3_s000005307_x1d.fits,1.68060605590997
CAPERS_UDS_P3_s000142042_x1d.fits,nan
CAPERS_UDS_P3_s000008617_x1d.fits,nan
CAPERS_UDS_P3_s000139013_x1d.fits,nan
CAPERS_UDS_P3_s000003737_x1d.fits,2.290961069539791
CAPERS_UDS_P3_s000003581_x1d.fits,3.1899239205066516
CAPERS_UDS_P3_s000126020_x1d.fits,nan
CAPERS_UDS_P3_s000002356_x1d.fits,5.792833877938318
CAPERS_UDS_P3_s000137735_x1d.fits,nan
CAPERS_UDS_P3_s000128666_x1d.fits,3.192268668597162
CAPERS_UDS_P3_s000004831_x1d.fits,3.5133957826400852
CAPERS_UDS_P3_s000150078_x1d.fits,nan
CAPERS_UDS_P3_s000013788_x1d.fits,2.1117895822313604
CAPERS_UDS_P3_s000001508_x1d.fits,nan
CAPERS_UDS_P3_s000006891_x1d.fits,nan
CAPERS_UDS_P3_s000118685_x1d.fits,nan
CAPERS_UDS_P3_s000007128_x1d.fits,3.070020205143038
CAPERS_UDS_P3_s000128577_x1d.fits,nan
CAPERS_UDS_P3_s000120399_x1d.fits,4.168822885885592
CAPERS_UDS_P3_s000002193_x1d.fits,nan
CAPERS_UDS_P3_s000003481_x1d.fits,nan
CAPERS_UDS_P3_s000140115_x1d.fits,nan
CAPERS_UDS_P3_s000146413_x1d.fits,nan
CAPERS_UDS_P3_s000123394_x1d.fits,4.325965355655403
CAPERS_UDS_P3_s000003687_x1d.fits,1.9099175666700896
CAPERS_UDS_P3_s000010729_x1d.fits,5.330533253353752
CAPERS_UDS_P3_s000127155_x1d.fits,5.238295214367122
CAPERS_UDS_P3_s000008603_x1d.fits,nan
CAPERS_UDS_P3_s000130191_x1d.fits,nan
CAPERS_UDS_P3_s000134451_x1d.fits,3.4480111928460584
CAPERS_UDS_P3_s000005869_x1d.fits,nan
CAPERS_UDS_P3_s000011443_x1d.fits,1.6509199821057159
CAPERS_UDS_P3_s000126229_x1d.fits,nan
CAPERS_UDS_P3_s000141680_x1d.fits,nan
CAPERS_UDS_P3_s000004944_x1d.fits,3.4672894387371835
CAPERS_UDS_P3_s000002405_x1d.fits,1.8105992179590444
CAPERS_UDS_P3_s000137026_x1d.fits,4.727366627822123
CAPERS_UDS_P3_s000011854_x1d.fits,2.9910784447671697
CAPERS_UDS_P3_s000140853_x1d.fits,nan
CAPERS_UDS_P3_s000137983_x1d.fits,nan
CAPERS_UDS_P3_s000137333_x1d.fits,nan
CAPERS_UDS_P3_s000149441_x1d.fits,6.2179451087813
CAPERS_UDS_P3_s000128435_x1d.fits,nan
CAPERS_UDS_P3_s000011622_x1d.fits,5.312518128640513
CAPERS_UDS_P3_s000143391_x1d.fits,nan
CAPERS_UDS_P3_s000003434_x1d.fits,2.9762624531062514
CAPERS_UDS_P3_s000005789_x1d.fits,2.391395006585507
CAPERS_UDS_P3_s000004903_x1d.fits,nan
CAPERS_UDS_P3_s000005456_x1d.fits,nan
CAPERS_UDS_P3_s000128684_x1d.fits,nan
CAPERS_UDS_P3_s000011936_x1d.fits,4.38886692326697
CAPERS_UDS_P3_s000121916_x1d.fits,6.023128511807103
CAPERS_UDS_P3_s000009147_x1d.fits,nan
CAPERS_UDS_P3_s000003184_x1d.fits,1.2443881507837498
CAPERS_UDS_P3_s000131662_x1d.fits,nan
CAPERS_UDS_P3_s000130272_x1d.fits,nan
CAPERS_UDS_P3_s000134510_x1d.fits,nan
CAPERS_UDS_P3_s000003772_x1d.fits,6.4872362035130795
CAPERS_UDS_P3_s000003810_x1d.fits,1.7318378872849496
CAPERS_UDS_P3_s000143548_x1d.fits,nan
CAPERS_UDS_P3_s000127666_x1d.fits,3.016162631562638
CAPERS_UDS_P3_s000003302_x1d.fits,1.5770291373571141
CAPERS_UDS_P3_s000128465_x1d.fits,nan
CAPERS_UDS_P3_s000145434_x1d.fits,6.290394929490072
CAPERS_UDS_P3_s000008394_x1d.fits,nan
CAPERS_UDS_P3_s000130334_x1d.fits,nan
CAPERS_UDS_P3_s000011623_x1d.fits,nan
CAPERS_UDS_P3_s000012018_x1d.fits,4.122817203101937
CAPERS_UDS_P3_s000143458_x1d.fits,nan
CAPERS_UDS_P3_s000009169_x1d.fits,nan
CAPERS_UDS_P3_s000145675_x1d.fits,nan
CAPERS_UDS_P3_s000141953_x1d.fits,nan
CAPERS_UDS_P3_s000013524_x1d.fits,4.045412351967499
CAPERS_UDS_P3_s000124731_x1d.fits,nan
CAPERS_UDS_P3_s000143252_x1d.fits,nan
CAPERS_UDS_P3_s000011384_x1d.fits,nan
CAPERS_UDS_P3_s000010443_x1d.fits,4.1084706615206485
CAPERS_UDS_P3_s000010659_x1d.fits,nan
CAPERS_UDS_P3_s000124206_x1d.fits,2.320596466227201
CAPERS_UDS_P3_s000131184_x1d.fits,nan
CAPERS_UDS_P3_s000003126_x1d.fits,2.164737839314998
CAPERS_UDS_P3_s000159638_x1d.fits,nan
CAPERS_UDS_P3_s000003937_x1d.fits,nan
CAPERS_UDS_P3_s000145121_x1d.fits,4.1746872636433805
CAPERS_UDS_P3_s000013422_x1d.fits,1.4360099544289744
CAPERS_UDS_P3_s000147728_x1d.fits,nan
CAPERS_UDS_P3_s000012179_x1d.fits,nan
CAPERS_UDS_P3_s000134881_x1d.fits,nan
CAPERS_UDS_P3_s000143573_x1d.fits,nan
CAPERS_UDS_P3_s000003671_x1d.fits,nan
CAPERS_UDS_P3_s000009866_x1d.fits,2.6551246019867354
CAPERS_UDS_P3_s000120287_x1d.fits,5.244367494572958
CAPERS_UDS_P3_s000127384_x1d.fits,nan
CAPERS_UDS_P3_s000131199_x1d.fits,nan
CAPERS_UDS_P3_s000009825_x1d.fits,nan
CAPERS_UDS_P3_s000133721_x1d.fits,nan
CAPERS_UDS_P3_s000130523_x1d.fits,nan
CAPERS_UDS_P3_s000012169_x1d.fits,3.8856847605734783
CAPERS_UDS_P3_s000141506_x1d.fits,nan
CAPERS_UDS_P3_s000131738_x1d.fits,2.5237561234173826
CAPERS_UDS_P3_s000128201_x1d.fits,nan
CAPERS_UDS_P3_s000006758_x1d.fits,2.1507415211507843
CAPERS_UDS_P3_s000002205_x1d.fits,nan
CAPERS_UDS_P3_s000001432_x1d.fits,nan
CAPERS_UDS_P3_s000002719_x1d.fits,nan
CAPERS_UDS_P3_s000013260_x1d.fits,5.603536427303048
CAPERS_UDS_P3_s000129010_x1d.fits,3.2439553317329093
CAPERS_UDS_P3_s000012967_x1d.fits,2.7066144145175515
CAPERS_UDS_P3_s000009947_x1d.fits,nan
CAPERS_UDS_P3_s000010011_x1d.fits,2.5961426159138923
CAPERS_UDS_P3_s000143674_x1d.fits,nan
CAPERS_UDS_P3_s000004227_x1d.fits,2.0644077585203955
CAPERS_UDS_P3_s000126953_x1d.fits,nan
CAPERS_UDS_P3_s000002111_x1d.fits,nan
CAPERS_UDS_P3_s000145221_x1d.fits,nan
CAPERS_UDS_P3_s000138374_x1d.fits,2.4846272896168022
CAPERS_UDS_P3_s000142883_x1d.fits,nan
CAPERS_UDS_P3_s000014972_x1d.fits,nan
CAPERS_UDS_P3_s000138739_x1d.fits,nan
CAPERS_UDS_P3_s000003491_x1d.fits,3.7900607570702345
CAPERS_UDS_P3_s000124876_x1d.fits,nan
CAPERS_UDS_P3_s000125682_x1d.fits,3.774515682942944
CAPERS_UDS_P3_s000142432_x1d.fits,nan
CAPERS_UDS_P3_s000146515_x1d.fits,nan
CAPERS_UDS_P3_s000128794_x1d.fits,3.46284414881634
CAPERS_UDS_P3_s000008276_x1d.fits,nan
CAPERS_UDS_P3_s000125156_x1d.fits,nan
CAPERS_UDS_P3_s000142077_x1d.fits,nan
CAPERS_UDS_P3_s000125108_x1d.fits,3.700132061055684
CAPERS_UDS_P3_s000011410_x1d.fits,2.1461762362953096
CAPERS_UDS_P3_s000128595_x1d.fits,1.9155271726732659
CAPERS_UDS_P3_s000141248_x1d.fits,nan
CAPERS_UDS_P3_s000132000_x1d.fits,4.327246730523313
CAPERS_UDS_P3_s000001395_x1d.fits,nan
CAPERS_UDS_P3_s000009040_x1d.fits,nan
CAPERS_UDS_P3_s000123685_x1d.fits,2.9518809540756887
CAPERS_UDS_P3_s000013681_x1d.fits,nan
CAPERS_UDS_P3_s000000299_x1d.fits,nan
CAPERS_UDS_P3_s000006503_x1d.fits,0.9423460642496744
CAPERS_UDS_P3_s000132353_x1d.fits,nan
CAPERS_UDS_P3_s000008013_x1d.fits,1.6584760030110677
CAPERS_UDS_P3_s000000501_x1d.fits,1.9159142201071089
CAPERS_UDS_P3_s000128268_x1d.fits,3.252234410534867
CAPERS_UDS_P3_s000139892_x1d.fits,nan
CAPERS_UDS_P3_s000004857_x1d.fits,2.6187643330188832
CAPERS_UDS_P3_s000010385_x1d.fits,nan
CAPERS_UDS_P3_s000132167_x1d.fits,nan
CAPERS_UDS_P3_s000126599_x1d.fits,1.7700241030161652
CAPERS_UDS_P3_s000123562_x1d.fits,2.868556436912395
CAPERS_UDS_P3_s000001973_x1d.fits,nan
CAPERS_UDS_P3_s000005548_x1d.fits,1.7979275774487125
CAPERS_UDS_P3_s000136681_x1d.fits,nan
CAPERS_UDS_P3_s000003099_x1d.fits,0.8164754231770834
CAPERS_UDS_P3_s000008552_x1d.fits,2.5023822597764984
CAPERS_UDS_P3_s000012780_x1d.fits,2.8755332873637554
CAPERS_UDS_P3_s000139926_x1d.fits,nan
CAPERS_UDS_P3_s000122381_x1d.fits,nan
CAPERS_UDS_P3_s000009940_x1d.fits,nan
CAPERS_UDS_P3_s000004035_x1d.fits,nan
CAPERS_UDS_P3_s000138371_x1d.fits,nan
CAPERS_UDS_P3_s000009814_x1d.fits,nan
CAPERS_UDS_P3_s000010442_x1d.fits,4.1089584981815745
CAPERS_UDS_P3_s000140919_x1d.fits,1.5387197905537229
CAPERS_UDS_P3_s000139220_x1d.fits,nan
CAPERS_UDS_P3_s000125121_x1d.fits,nan
CAPERS_UDS_P3_s000002502_x1d.fits,0.4337209345236177
CAPERS_UDS_P3_s000144081_x1d.fits,nan
CAPERS_UDS_P3_s000013709_x1d.fits,nan
CAPERS_UDS_P3_s000009069_x1d.fits,nan
CAPERS_UDS_P3_s000131882_x1d.fits,nan
CAPERS_UDS_P3_s000144505_x1d.fits,nan
CAPERS_UDS_P3_s000123712_x1d.fits,5.483311612186542
CAPERS_UDS_P3_s000126349_x1d.fits,nan
CAPERS_UDS_P3_s000138341_x1d.fits,nan
CAPERS_UDS_P3_s000121211_x1d.fits,nan
CAPERS_UDS_P3_s000135975_x1d.fits,nan
CAPERS_UDS_P3_s000012468_x1d.fits,1.404415657450297
CAPERS_UDS_P3_s000007616_x1d.fits,nan
CAPERS_UDS_P3_s000142775_x1d.fits,6.647410442854369
CAPERS_UDS_P3_s000013585_x1d.fits,nan
CAPERS_UDS_P3_s000121483_x1d.fits,1.6634431347200347
CAPERS_UDS_P3_s000128063_x1d.fits,5.657909532733275
CAPERS_UDS_P3_s000013105_x1d.fits,1.1241026536440786
CAPERS_UDS_P3_s000142425_x1d.fits,nan
CAPERS_UDS_P3_s000131817_x1d.fits,nan
CAPERS_UDS_P3_s000003288_x1d.fits,2.5444076413138794
CAPERS_UDS_P3_s000004355_x1d.fits,2.3950812806620294
CAPERS_UDS_P3_s000127878_x1d.fits,5.500313280584428
CAPERS_UDS_P3_s000126395_x1d.fits,nan
CAPERS_UDS_P3_s000002644_x1d.fits,nan
CAPERS_UDS_P3_s000127609_x1d.fits,2.7195608780439646
