msa_id,z_spec,z_spec16,z_spec50,z_spec84
34289,0.639510362784683,0.6379962890046545,0.6402943531624523,0.642670346685686
102363,3.227021627061762,3.2241147944326425,3.2296407505937093,3.235241936630314
28042,-99.0,-99.0,-99.0,-99.0
26804,2.295960533713286,2.290600770474548,2.294994404717795,2.2993209261566534
38408,0.44224025594084715,0.4403156048819065,0.4563669457353436,0.4687806559678501
94603,2.7318259249037906,2.7283037762876687,2.7332040410446177,2.738106525773918
28312,1.852219998727481,1.8490038175822405,1.852730864640086,1.8564580900451593
86840,6.110678284869341,6.09641426519936,6.105737133193402,6.115020653643084
89601,8.821733536327192,8.818668582760143,8.83151328583513,8.844365738288637
26531,1.8507942451962034,1.8489614156907086,1.8526884028601063,1.8564444038281078
82043,4.462451261383869,4.454106923947469,4.461241940383326,4.468376956819183
98844,2.292007753215463,2.286675560619492,2.2946823151766944,2.3042508709735574
94363,1.0256641821792565,1.0247962495367253,1.08603255457648,1.1570472712386428
84844,5.958038695292274,5.947991944052528,5.957081248205944,5.966170552359361
27904,3.9808354498523375,3.9736103400378533,3.9801188620937342,3.9866275807786278
84729,-99.0,-99.0,-99.0,-99.0
29143,2.5197770093286156,2.5136154608813466,2.5192925215179884,2.523890516740025
32249,1.613519127779778,1.608015765019063,1.6114275491310834,1.614839333243104
31187,1.9715914111531516,1.966481198447324,1.970694241388312,1.9745773984399173
87534,-99.0,-99.0,-99.0,-99.0
29002,0.7510185338676294,0.7488515037495664,0.7511393364593247,0.753427169169083
102845,2.7013500740741407,2.3345134941389993,2.6989529801914363,4.172732328566192
31829,1.5105394188954864,1.474977395711998,1.5039420304389066,1.513871784059052
27926,-99.0,-99.0,-99.0,-99.0
87631,0.09450000000000003,0.1021154615674047,0.1021154615674047,0.1021154615674047
82491,1.4407311302859989,1.4347078327046372,1.440452273080182,1.4474303848920147
31968,3.81818662300536,3.813788427204853,3.820085784412142,3.826383141619431
41672,1.1699359217757612,1.1686053158070036,1.171442387136105,1.174367764585731
79368,4.613630386638482,4.596965985490657,4.612405629071252,4.625645116617025
33221,1.6588604745499902,1.6542952557346122,1.6586405601956462,1.66218322182357
31327,2.2654501937336167,2.2591413933309803,2.263427573523314,2.267691184187067
31000,0.09450000000000003,0.1021154615674047,0.1021154615674047,0.1021154615674047
36152,1.9267647672562336,1.9223971629259098,1.9272775574685093,1.9319123373922
34233,0.5196767351262783,0.5209221859991426,1.0277282969184942,1.255138026517252
97121,6.7740995509890105,6.767031840709983,6.7771926059120675,6.787353371114151
83976,1.4324467358941249,1.4230145490750994,1.4307346485964372,1.4357729940884025
27032,-99.0,-99.0,-99.0,-99.0
81127,1.7767957026702454,0.7941139479729381,1.7704534931179,1.7822227780620876
33214,1.4910333838602372,1.4823320677039071,1.491590532005354,1.5012900358101622
26775,3.2236413620464006,3.2161175339217323,3.2216330231337156,3.227148512345699
34800,1.4365854122232937,1.433274303568036,1.436563588433926,1.4400878727353674
30705,2.3554894213486723,2.3479961593671246,2.3523993420185425,2.3567791927312505
30562,0.1371187353917358,0.13468740804867638,0.1371383026246024,0.13963389809124613
36995,2.5299991776356783,1.9083653456744787,2.518356792984605,2.5327270659123227
35123,1.090697281778862,1.0869817614161037,1.0897119332713474,1.0924421051173965
29998,3.9833264902854744,3.973612834293052,3.9801194363140575,3.9866258746697505
96205,1.9279357073355392,1.9222263424089145,1.9276749605436245,1.9330075358595407
29802,0.818292071024789,0.815060982773257,0.8193003346669238,0.8232341384844718
82305,2.312150373041679,2.309568969000234,2.313898523993752,2.3182571866938817
102871,0.09866701230908381,0.10214264708178056,0.10745421651321901,0.12364486487977375
96994,1.9476187411069286,1.943529987284127,1.947692119481923,1.9516312898421808
26325,2.243969187750714,2.2403993841334415,2.244638447134392,2.248877510135413
27211,3.316296047117305,3.306315969259601,3.3141442988944827,3.320147317233024
81437,4.422178315727266,4.4123516756459376,4.4194320682200985,4.426512460794145
29938,4.423262859841208,4.413528007973791,4.422230742432916,4.429414856860053
29939,0.15176740669846622,0.15718178129267196,1.5773309927560537,11.312314249148907
79319,5.912958114381933,1.2776589482200618,6.653381401521072,9.116694775118452
34833,1.2800506051944924,1.2754490165241674,1.2784258067726042,1.2814025299715883
29970,1.2657314391155268,1.2623712500556252,1.2653308649655755,1.2682904798652173
28728,2.2559941061259607,2.2511435281976127,2.2555074458598923,2.2608263645364506
78352,0.5668976384524476,0.5645751840014255,0.5688825107397388,1.597902959647542
85100,1.396471957191559,1.3928379123344978,1.3971607561999173,1.4017674875911892
27822,4.156704114845571,4.148626030648096,4.155361419569325,4.1620968084905545
85310,5.1613606505331795,5.155898855096621,5.16395194980946,5.172005058641888
89837,0.13393925628065384,0.12625061628397338,0.1514821881953557,0.2137968094283705
25410,1.6955375272041326,1.6900222917820047,1.6943398932484477,1.6978741832898174
76889,4.079422824854169,4.070094664437153,4.076727319290924,4.083359974144696
27120,1.4699493342516576,1.4666693632376293,1.4702726967101725,1.4736258281897074
33306,1.5304512283943872,1.5290623966008046,1.5323708951104194,1.5356798225019412
96580,6.092923791520985,6.082774354399621,6.092039979759516,6.1013056051194114
35195,1.0445907311131624,1.0401556223986035,1.0441589415940753,1.048312523310629
95747,3.645493630473613,3.6401889147314503,3.6462973210586047,3.6530523713627012
25938,5.776072372342339,5.763594563645452,5.7724426407092135,5.781290717772975
81457,4.436294322204564,4.404384738538692,4.430414649596882,4.445321443276631
102822,1.0556613849247887,1.0501615452992248,1.0551050189472182,1.0599646292333709
100215,6.613307005414653,6.604603509971226,6.614551787808599,6.624500065667612
84908,5.382741057837353,5.376254366424951,7.37041480531123,9.30373789098276
95814,0.8407951738737613,0.8237910826159682,0.8429129478498659,0.8839341042398909
83827,4.80197071321158,4.797643496589624,4.805227924657174,4.814197018907447
81920,3.6181659140902545,3.6145463781748473,3.6205830908085628,3.6266267859099055
35550,2.5984299955161267,2.594650574823444,2.599353066228617,2.604055557663187
89009,1.2584926866913038,1.2541552965319902,1.2582628226999393,1.262870133921667
90718,5.9005259820518186,5.897313373733277,5.910690121695054,5.994675393348193
35483,2.316458968506892,2.3096120137065825,2.313942161827329,2.318271768911255
30027,4.434663678516685,4.422760422884949,4.429854432101334,4.436948441310279
35925,3.710516856432859,3.7040732809837453,3.7102271097670028,3.7163809385502136
37289,1.043568691278856,1.0394169510862745,1.0420880220300974,1.044756048278538
25720,3.1234807049083315,3.1200244094899947,3.125414190495031,3.1308039741302967
101777,5.110432999253386,5.0970699245490145,5.10509762688932,5.113073829442857
27031,1.9267647672562345,1.9232812692870336,1.9284497027897924,1.9338624367938893
85451,0.6395103627846828,0.6398065484704243,3.077129304100678,3.259661666161351
102124,2.2785381529764295,2.272842191343072,2.27826899549911,2.2830775191770907
98316,5.315441321376208,5.311590398397549,5.319847167444602,5.328103936491665
25528,0.963242882658252,0.9593512743066256,0.9627646486982769,0.9660000269506451
35372,3.249484315227445,3.2404889836014834,3.2460363553373077,3.2515837270731316
95066,4.442277536123336,4.433189187666899,4.440296839697815,4.447404491728419
85603,6.265213165190982,6.247793484055323,6.272706570183437,18.524829971506488
83157,0.17362545581750166,0.17061496401002038,0.17384856695920578,0.17716938809832553
37438,5.899146014856727,5.894799893939333,5.903819612703775,5.912839331468218
93318,5.212712760384925,5.203390447247971,5.211505670036291,5.2196208928246115
84026,1.239600805109872,1.2346369569252114,1.2415837564540677,1.5529700362639582
33755,6.986859574164228,6.978786154409314,6.989223934809243,6.9996617152091725
33532,0.7596195800374439,0.7573741138143004,0.7603303536737653,0.7637041701350621
91188,0.6714602373312273,0.666876518030178,0.6714712822726222,0.6805023684853323
75425,1.4237056710020601,1.4197833766429588,1.4230447212236377,1.4262111948311438
27878,2.61936153226866,2.6154296079215182,2.6201592822815756,2.6248889566418003
35414,2.7727253242744774,2.2242422151886694,2.7718490235051925,2.7793154179886126
35141,2.4892877698498244,2.4721731351636285,2.4884219325928085,2.5020230328386277
36641,1.86250649530733,1.8520533969660502,1.8635312973484908,1.8788185509024802
90083,2.1195776934004633,2.113618609786835,2.189048657401057,2.7113088445272453
95853,2.399055632795138,2.3915667788497585,2.401581091268969,2.8010940833022526
29001,0.6637891772044264,0.6596650695753925,0.6620376180000713,0.6648060658553975
35282,3.2482096611405495,3.240496483934726,3.2460597050703655,3.251607107512094
79439,0.9400187500073638,0.8795790878077205,0.9412130129234186,1.2508935458284332
27685,1.4724205189723372,1.4714209969882288,1.4746540889858448,1.4778871831265632
103825,3.5974308563471684,3.590362508438486,3.5980685565257664,3.6056243702611113
97250,5.153971452158269,5.144526751548286,5.154962024796471,5.163693670726975
32847,3.4118655974801744,3.406605163954132,3.412369847468695,3.4181345309832585
26405,3.5194831410511096,3.509387804340667,3.5152985189433728,3.521197676954893
76857,0.9021743716696606,0.27817203049168293,0.9041041909474148,1.0046497229520706
81316,-99.0,-99.0,-99.0,-99.0
28227,1.9223779110700252,1.9210566418726593,1.924877944704297,1.9287011871575448
37952,1.5337429541494556,1.529901889823484,1.5348179220786928,1.5395022353130383
27013,1.706611918053539,1.7049795008341173,1.7085181326051675,1.712056865183989
26614,2.108056583132541,2.1011376330349423,2.106250914809924,2.110392920483771
157420,1.5748663709200308,3.257055792477171,10.015255960222255,16.777233241198115
98579,2.2887173909175935,2.2842742166640733,2.2885706763489906,2.2928671360338697
27720,2.3773711411349097,2.3737915739476643,2.3782094236663203,2.382639744808207
95095,2.4597545179412856,3.2691254197451305,10.024688543852456,16.780251667959778
96647,0.6282366802146351,0.4558905959345271,0.6268628083233564,0.6338680742679115
78472,3.154107642031212,2.6147293119448016,3.150769281101096,3.160250152752852
26533,2.2887173909175935,2.2842742188987937,2.288570683325862,2.2928671430198797
