              sample          id                                      file  z_manual
58   CAPERS_UDS_V0.1  s000006363  CAPERS_UDS_P2_s000006363_x1d_optext.fits      3.95
59   CAPERS_UDS_V0.1  s000006445  CAPERS_UDS_P2_s000006445_x1d_optext.fits      1.06
60   CAPERS_UDS_V0.1  s000006503  CAPERS_UDS_P3_s000006503_x1d_optext.fits      0.94
61   CAPERS_UDS_V0.1  s000006673  CAPERS_UDS_P2_s000006673_x1d_optext.fits      1.09
62   CAPERS_UDS_V0.1  s000006684  CAPERS_UDS_P2_s000006684_x1d_optext.fits      0.21
63   CAPERS_UDS_V0.1  s000006758  CAPERS_UDS_P3_s000006758_x1d_optext.fits      2.14
64   CAPERS_UDS_V0.1  s000006806  CAPERS_UDS_P2_s000006806_x1d_optext.fits      1.98
65   CAPERS_UDS_V0.1  s000006814  CAPERS_UDS_P2_s000006814_x1d_optext.fits      1.23
66   CAPERS_UDS_V0.1  s000006820  CAPERS_UDS_P2_s000006820_x1d_optext.fits      4.19
67   CAPERS_UDS_V0.1  s000006844  CAPERS_UDS_P3_s000006844_x1d_optext.fits      3.26
68   CAPERS_UDS_V0.1  s000007032  CAPERS_UDS_P2_s000007032_x1d_optext.fits      1.98
69   CAPERS_UDS_V0.1  s000007128  CAPERS_UDS_P3_s000007128_x1d_optext.fits      3.07
70   CAPERS_UDS_V0.1  s000007192  CAPERS_UDS_P2_s000007192_x1d_optext.fits      1.18
71   CAPERS_UDS_V0.1  s000007348  CAPERS_UDS_P2_s000007348_x1d_optext.fits      2.64
72   CAPERS_UDS_V0.1  s000007353  CAPERS_UDS_P2_s000007353_x1d_optext.fits      3.59
73   CAPERS_UDS_V0.1  s000007381  CAPERS_UDS_P2_s000007381_x1d_optext.fits      1.23
74   CAPERS_UDS_V0.1  s000007530  CAPERS_UDS_P2_s000007530_x1d_optext.fits      0.93
75   CAPERS_UDS_V0.1  s000007541  CAPERS_UDS_P2_s000007541_x1d_optext.fits      4.63
76   CAPERS_UDS_V0.1  s000007583  CAPERS_UDS_P2_s000007583_x1d_optext.fits      2.53
77   CAPERS_UDS_V0.1  s000007616  CAPERS_UDS_P3_s000007616_x1d_optext.fits      0.65
78   CAPERS_UDS_V0.1  s000007806  CAPERS_UDS_P3_s000007806_x1d_optext.fits      1.74
79   CAPERS_UDS_V0.1  s000007863  CAPERS_UDS_P3_s000007863_x1d_optext.fits      1.66
80   CAPERS_UDS_V0.1  s000007893  CAPERS_UDS_P2_s000007893_x1d_optext.fits      4.18
81   CAPERS_UDS_V0.1  s000007979         CAPERS_UDS_P2_s000007979_x1d.fits      3.60
82   CAPERS_UDS_V0.1  s000007980         CAPERS_UDS_P2_s000007980_x1d.fits      3.60
83   CAPERS_UDS_V0.1  s000008013  CAPERS_UDS_P3_s000008013_x1d_optext.fits      1.65
84   CAPERS_UDS_V0.1  s000008037  CAPERS_UDS_P3_s000008037_x1d_optext.fits      1.66
85   CAPERS_UDS_V0.1  s000008393  CAPERS_UDS_P2_s000008393_x1d_optext.fits      2.10
86   CAPERS_UDS_V0.1  s000008552  CAPERS_UDS_P3_s000008552_x1d_optext.fits      2.47
87   CAPERS_UDS_V0.1  s000008554  CAPERS_UDS_P3_s000008554_x1d_optext.fits      2.45
88   CAPERS_UDS_V0.1  s000008776  CAPERS_UDS_P2_s000008776_x1d_optext.fits      1.10
89   CAPERS_UDS_V0.1  s000008867  CAPERS_UDS_P2_s000008867_x1d_optext.fits      2.25
90   CAPERS_UDS_V0.1  s000008872  CAPERS_UDS_P2_s000008872_x1d_optext.fits      2.26
91   CAPERS_UDS_V0.1  s000008972  CAPERS_UDS_P2_s000008972_x1d_optext.fits      2.87
92   CAPERS_UDS_V0.1  s000008984         CAPERS_UDS_P2_s000008984_x1d.fits      1.10
93   CAPERS_UDS_V0.1  s000009025  CAPERS_UDS_P2_s000009025_x1d_optext.fits      1.81
94   CAPERS_UDS_V0.1  s000009159  CAPERS_UDS_P2_s000009159_x1d_optext.fits      0.86
95   CAPERS_UDS_V0.1  s000009160  CAPERS_UDS_P2_s000009160_x1d_optext.fits      2.50
96   CAPERS_UDS_V0.1  s000009277  CAPERS_UDS_P2_s000009277_x1d_optext.fits      1.60
97   CAPERS_UDS_V0.1  s000009469  CAPERS_UDS_P2_s000009469_x1d_optext.fits      1.16
98   CAPERS_UDS_V0.1  s000009505  CAPERS_UDS_P3_s000009505_x1d_optext.fits      1.86
99   CAPERS_UDS_V0.1  s000009628  CAPERS_UDS_P2_s000009628_x1d_optext.fits      3.98
100  CAPERS_UDS_V0.1  s000009644  CAPERS_UDS_P2_s000009644_x1d_optext.fits      1.34
101  CAPERS_UDS_V0.1  s000009648  CAPERS_UDS_P2_s000009648_x1d_optext.fits      4.54
102  CAPERS_UDS_V0.1  s000009677  CAPERS_UDS_P2_s000009677_x1d_optext.fits      4.46
103  CAPERS_UDS_V0.1  s000009687  CAPERS_UDS_P2_s000009687_x1d_optext.fits      3.56
104  CAPERS_UDS_V0.1  s000009704         CAPERS_UDS_P2_s000009704_x1d.fits      2.36
105  CAPERS_UDS_V0.1  s000009725  CAPERS_UDS_P2_s000009725_x1d_optext.fits      1.98
106  CAPERS_UDS_V0.1  s000009814  CAPERS_UDS_P3_s000009814_x1d_optext.fits      0.81
107  CAPERS_UDS_V0.1  s000009841  CAPERS_UDS_P3_s000009841_x1d_optext.fits      0.82
108  CAPERS_UDS_V0.1  s000009866  CAPERS_UDS_P3_s000009866_x1d_optext.fits      2.64
109  CAPERS_UDS_V0.1  s000009998  CAPERS_UDS_P2_s000009998_x1d_optext.fits      3.96
110  CAPERS_UDS_V0.1  s000010011  CAPERS_UDS_P3_s000010011_x1d_optext.fits      2.61
111  CAPERS_UDS_V0.1  s000010310  CAPERS_UDS_P2_s000010310_x1d_optext.fits      2.17
112  CAPERS_UDS_V0.1  s000010349  CAPERS_UDS_P2_s000010349_x1d_optext.fits      6.12
113  CAPERS_UDS_V0.1  s000010385  CAPERS_UDS_P3_s000010385_x1d_optext.fits      1.58
114  CAPERS_UDS_V0.1  s000010438  CAPERS_UDS_P3_s000010438_x1d_optext.fits      3.79
115  CAPERS_UDS_V0.1  s000010442  CAPERS_UDS_P3_s000010442_x1d_optext.fits      4.12
116  CAPERS_UDS_V0.1  s000010443  CAPERS_UDS_P3_s000010443_x1d_optext.fits      4.09
117  CAPERS_UDS_V0.1  s000010444         CAPERS_UDS_P3_s000010444_x1d.fits      4.09
118  CAPERS_UDS_V0.1  s000010623  CAPERS_UDS_P3_s000010623_x1d_optext.fits      3.93
119  CAPERS_UDS_V0.1  s000010729  CAPERS_UDS_P3_s000010729_x1d_optext.fits      5.32
120  CAPERS_UDS_V0.1  s000010904  CAPERS_UDS_P2_s000010904_x1d_optext.fits      1.82
121  CAPERS_UDS_V0.1  s000010997         CAPERS_UDS_P2_s000010997_x1d.fits      5.15
122  CAPERS_UDS_V0.1  s000011027  CAPERS_UDS_P3_s000011027_x1d_optext.fits      1.52
123  CAPERS_UDS_V0.1  s000011192  CAPERS_UDS_P2_s000011192_x1d_optext.fits      3.12
124  CAPERS_UDS_V0.1  s000011228  CAPERS_UDS_P2_s000011228_x1d_optext.fits      3.24
125  CAPERS_UDS_V0.1  s000011351  CAPERS_UDS_P3_s000011351_x1d_optext.fits      5.03
126  CAPERS_UDS_V0.1  s000011442  CAPERS_UDS_P3_s000011442_x1d_optext.fits      2.88
127  CAPERS_UDS_V0.1  s000011443         CAPERS_UDS_P3_s000011443_x1d.fits      1.67
128  CAPERS_UDS_V0.1  s000011470  CAPERS_UDS_P2_s000011470_x1d_optext.fits      1.57
129  CAPERS_UDS_V0.1  s000011521  CAPERS_UDS_P2_s000011521_x1d_optext.fits      1.09
130  CAPERS_UDS_V0.1  s000011538  CAPERS_UDS_P3_s000011538_x1d_optext.fits      2.32
131  CAPERS_UDS_V0.1  s000011622  CAPERS_UDS_P3_s000011622_x1d_optext.fits      5.32
132  CAPERS_UDS_V0.1  s000011625  CAPERS_UDS_P2_s000011625_x1d_optext.fits      2.27
133  CAPERS_UDS_V0.1  s000011655  CAPERS_UDS_P2_s000011655_x1d_optext.fits      3.50
134  CAPERS_UDS_V0.1  s000011686  CAPERS_UDS_P3_s000011686_x1d_optext.fits      2.47
135  CAPERS_UDS_V0.1  s000011854  CAPERS_UDS_P3_s000011854_x1d_optext.fits      2.99
136  CAPERS_UDS_V0.1  s000011936  CAPERS_UDS_P3_s000011936_x1d_optext.fits      4.36
137  CAPERS_UDS_V0.1  s000012018  CAPERS_UDS_P3_s000012018_x1d_optext.fits      4.11
138  CAPERS_UDS_V0.1  s000012066  CAPERS_UDS_P3_s000012066_x1d_optext.fits      1.26
139  CAPERS_UDS_V0.1  s000012122  CAPERS_UDS_P1_s000012122_x1d_optext.fits      3.54
140  CAPERS_UDS_V0.1  s000012158  CAPERS_UDS_P2_s000012158_x1d_optext.fits      1.43
141  CAPERS_UDS_V0.1  s000012161  CAPERS_UDS_P2_s000012161_x1d_optext.fits      1.09
142  CAPERS_UDS_V0.1  s000012169         CAPERS_UDS_P3_s000012169_x1d.fits      3.90
143  CAPERS_UDS_V0.1  s000012190  CAPERS_UDS_P2_s000012190_x1d_optext.fits      2.09
144  CAPERS_UDS_V0.1  s000012314  CAPERS_UDS_P2_s000012314_x1d_optext.fits      0.95
145  CAPERS_UDS_V0.1  s000012326  CAPERS_UDS_P3_s000012326_x1d_optext.fits      1.74
146  CAPERS_UDS_V0.1  s000012383  CAPERS_UDS_P2_s000012383_x1d_optext.fits      1.46
147  CAPERS_UDS_V0.1  s000012416  CAPERS_UDS_P2_s000012416_x1d_optext.fits      3.98
148  CAPERS_UDS_V0.1  s000012468  CAPERS_UDS_P3_s000012468_x1d_optext.fits      1.43
149  CAPERS_UDS_V0.1  s000012474  CAPERS_UDS_P2_s000012474_x1d_optext.fits      1.42
150  CAPERS_UDS_V0.1  s000012509  CAPERS_UDS_P1_s000012509_x1d_optext.fits      1.48
151  CAPERS_UDS_V0.1  s000012531  CAPERS_UDS_P2_s000012531_x1d_optext.fits      0.76
152  CAPERS_UDS_V0.1  s000012658  CAPERS_UDS_P2_s000012658_x1d_optext.fits      2.24
153  CAPERS_UDS_V0.1  s000012780  CAPERS_UDS_P3_s000012780_x1d_optext.fits      2.86
154  CAPERS_UDS_V0.1  s000012967  CAPERS_UDS_P3_s000012967_x1d_optext.fits      2.72
155  CAPERS_UDS_V0.1  s000012969  CAPERS_UDS_P2_s000012969_x1d_optext.fits      1.64
156  CAPERS_UDS_V0.1  s000013099  CAPERS_UDS_P1_s000013099_x1d_optext.fits      0.59
157  CAPERS_UDS_V0.1  s000013105  CAPERS_UDS_P3_s000013105_x1d_optext.fits      1.12
158  CAPERS_UDS_V0.1  s000013141  CAPERS_UDS_P1_s000013141_x1d_optext.fits      6.59
159  CAPERS_UDS_V0.1  s000013149  CAPERS_UDS_P3_s000013149_x1d_optext.fits      2.06
160  CAPERS_UDS_V0.1  s000013189  CAPERS_UDS_P2_s000013189_x1d_optext.fits      8.28
161  CAPERS_UDS_V0.1  s000013192  CAPERS_UDS_P2_s000013192_x1d_optext.fits      1.91
162  CAPERS_UDS_V0.1  s000013227  CAPERS_UDS_P3_s000013227_x1d_optext.fits      3.02
163  CAPERS_UDS_V0.1  s000013260  CAPERS_UDS_P3_s000013260_x1d_optext.fits      5.60
164  CAPERS_UDS_V0.1  s000013338  CAPERS_UDS_P1_s000013338_x1d_optext.fits      1.51
165  CAPERS_UDS_V0.1  s000013358  CAPERS_UDS_P1_s000013358_x1d_optext.fits      3.55
166  CAPERS_UDS_V0.1  s000013394  CAPERS_UDS_P2_s000013394_x1d_optext.fits      3.51
167  CAPERS_UDS_V0.1  s000013422  CAPERS_UDS_P3_s000013422_x1d_optext.fits      1.43
168  CAPERS_UDS_V0.1  s000013471  CAPERS_UDS_P2_s000013471_x1d_optext.fits      1.53
169  CAPERS_UDS_V0.1  s000013472  CAPERS_UDS_P2_s000013472_x1d_optext.fits      1.81
170  CAPERS_UDS_V0.1  s000013482  CAPERS_UDS_P2_s000013482_x1d_optext.fits      3.10
171  CAPERS_UDS_V0.1  s000013524  CAPERS_UDS_P3_s000013524_x1d_optext.fits      4.06
172  CAPERS_UDS_V0.1  s000013530  CAPERS_UDS_P1_s000013530_x1d_optext.fits      3.08
173  CAPERS_UDS_V0.1  s000013701  CAPERS_UDS_P1_s000013701_x1d_optext.fits      1.44
174  CAPERS_UDS_V0.1  s000013724  CAPERS_UDS_P1_s000013724_x1d_optext.fits      3.31
175  CAPERS_UDS_V0.1  s000013788  CAPERS_UDS_P3_s000013788_x1d_optext.fits      2.10
176  CAPERS_UDS_V0.1  s000013915  CAPERS_UDS_P2_s000013915_x1d_optext.fits      3.22
177  CAPERS_UDS_V0.1  s000013920  CAPERS_UDS_P2_s000013920_x1d_optext.fits      2.49
178  CAPERS_UDS_V0.1  s000014069  CAPERS_UDS_P2_s000014069_x1d_optext.fits      5.81
179  CAPERS_UDS_V0.1  s000014139  CAPERS_UDS_P2_s000014139_x1d_optext.fits      4.12
180  CAPERS_UDS_V0.1  s000014150  CAPERS_UDS_P1_s000014150_x1d_optext.fits      1.90
181  CAPERS_UDS_V0.1  s000014171  CAPERS_UDS_P2_s000014171_x1d_optext.fits      2.18
