id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift
79827,2.1340596022851246,0.057492548198331946,2.16
80040,3.8047547233288666,0.07904884765850125,3.81
80414,3.14056235823696,0.0023039041621289004,3.14
80511,2.3497529002904263,0.0037637055669188352,2.35
80575,2.1198405596613568,0.8970282666841007,4.16
80723,3.3130997097706634,1.7639173640047296,1.75
80940,2.9454385180347455,1.2169430329495659,2.79
80951,2.5299999980920735,5.783564083444884e-06,2.5300000000000002
80997,3.543132457415273,0.0067419992408161555,3.54
81025,3.109994263974347,0.00023943138817810304,3.11
81127,3.65098292807805,0.4052631236460069,3.64
81265,3.1508982639001024,0.532210986747302,2.98
81290,2.417654793164931,0.1643145499991618,2.54
81316,4.445230636095569,3.3227910400335046,4.4
81437,3.933235198388911,0.9224951333700561,4.37
81457,3.091978200663383,1.8455162556422495,0.8300000000000001
81468,2.538236919445477,0.2325090453131181,2.59
81687,2.0779125533579217,1.002127750559055,4.5200000000000005
81715,1.50999874676133,0.00011199017623850363,1.51
81858,2.420439357713009,0.6244002942546407,2.66
81920,3.6168707325920115,0.004638222731892388,3.62
81936,3.6704229504039585,0.5598263650864737,3.73
81995,0.6779140742457518,0.2460255878383788,0.5
82043,4.460000324557046,5.696898394414527e-05,4.46
82219,2.0125785173152932,0.705951888931147,1.84
82245,3.5687091072889556,0.3562502546424976,3.8200000000000003
82261,1.6203183379962753,1.3985123730120406,5.7
82298,1.56319024037309,1.0184667416899609,0.96
82305,2.310308918278297,0.0017321087387162889,2.31
82335,3.4700000027160653,5.211587421072583e-06,3.47
82436,4.7599999999991915,8.986381534487826e-08,4.76
82476,2.139179120136356,1.1383966780522057,1.28
82491,1.4592340868880396,0.015963967940932508,1.46
82515,6.189999547678551,6.76278131034053e-05,6.19
82550,1.7193030505833906,0.9070705362671049,1.47
82591,1.172673891305414,0.060008562640389534,1.16
82699,10.210933582777109,0.34167083721824004,10.31
82732,2.490425743869119,0.0020696944211130762,2.49
82792,0.7718292046686969,0.07591435600434202,0.78
82924,1.5550525659899699,0.044420383876966,1.57
82944,4.419380415055501,0.00241080154491653,4.42
83074,2.5310600937448826,0.0827349740040469,2.5300000000000002
83157,2.9950764486080614,1.269315184469707,1.59
83282,1.9958648129365146,0.07633926367077613,1.97
83442,2.59999999238806,8.724640586792578e-06,2.6
83475,0.9164225409599922,0.004793768533352326,0.91
83479,1.5235105757136937,0.31172331911853596,1.3900000000000001
83608,5.691837367366715,4.345530786876093,3.58
83609,14.906126649675235,6.687744735382312,6.9
83629,5.15,1.3381355343229867e-09,5.15
83687,5.350000840067313,9.166880750944035e-05,5.3500000000000005
83800,1.2094570776440943,0.0022659361654759043,1.21
83827,4.800000000000019,1.4623087836949554e-08,4.8
83939,2.5283131279841498,0.003744915354939824,2.5300000000000002
83976,1.3291660637468716,0.10663648699060857,1.43
84026,3.8308568420874085,0.39250533318457187,3.9
84340,2.2511331522853704,0.22061017199431213,2.35
84390,1.661747505627447,0.21555384655603468,1.74
84493,4.445227228119561,0.009874170557998153,4.44
84517,2.839537115684961,0.38238258049823126,3.0300000000000002
84548,4.748889583011084,1.4280937593592415,1.59
84729,3.0343326902147285,1.7497447597941602,2.59
84772,3.7100779331289937,0.0008797294581169305,3.71
84789,3.3263690855287433,0.006392424953430643,3.33
84844,5.959999999999693,5.65203024161227e-08,5.96
84902,6.02284936463001,1.6398456098950873,0.88
84908,4.2600249361522,3.0249822962502115,1.6500000000000001
