#file	Best_z	Cand_z_2	Cand_z_3	Cand_z_4
CAPERS_UDS_P1_s000103921_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000105150_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000026593_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016064_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000119472_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000117960_x1d.fits	3.3229	7.2125	4.8259	1.2101
CAPERS_UDS_P1_s000014598_x1d.fits	4.1537	5.94	nan	nan
CAPERS_UDS_P1_s000103364_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024166_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000016504_x1d.fits	0.9124	2.7275	nan	nan
CAPERS_UDS_P1_s000024167_x1d.fits	6.0984	4.4274	4.2689	nan
CAPERS_UDS_P1_s000099800_x1d.fits	4.8019	3.3037	nan	nan
CAPERS_UDS_P1_s000119180_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000106892_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000020919_x1d.fits	5.8055	nan	nan	nan
CAPERS_UDS_P1_s000015682_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000111124_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000024878_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000105478_x1d.fits	2.2521	nan	nan	nan
CAPERS_UDS_P1_s000023457_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023456_x1d.fits	1.5174	2.3866	nan	nan
CAPERS_UDS_P1_s000017905_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000116555_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000022960_x1d.fits	5.4838	3.8079	nan	nan
CAPERS_UDS_P1_s000103313_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000026084_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000018463_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P1_s000023517_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005430_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005657_x1d.fits	0.6194	5.2005	3.5966	0.2305
CAPERS_UDS_P2_s000012502_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014139_x1d.fits	4.1345	5.9016	nan	nan
CAPERS_UDS_P2_s000116237_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011470_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000150146_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006543_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014171_x1d.fits	2.1849	3.2845	nan	nan
CAPERS_UDS_P2_s000012161_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014360_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000136259_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000147730_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000119324_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004166_x1d.fits	5.7719	nan	nan	nan
CAPERS_UDS_P2_s000007541_x1d.fits	4.6291	6.569	nan	nan
CAPERS_UDS_P2_s000129566_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012688_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004275_x1d.fits	1.0804	2.569	2.0456	4.946
CAPERS_UDS_P2_s000010904_x1d.fits	1.8343	2.8187	nan	nan
CAPERS_UDS_P2_s000016560_x1d.fits	4.1056	5.6951	5.6567	3.9568
CAPERS_UDS_P2_s000006054_x1d.fits	3.5534	5.1285	nan	nan
CAPERS_UDS_P2_s000011655_x1d.fits	5.0708	3.5054	nan	nan
CAPERS_UDS_P2_s000146738_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000010997_x1d.fits	5.1525	3.6687	1.8007	5.3013
CAPERS_UDS_P2_s000117201_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000145413_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005010_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000151513_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000143346_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000015867_x1d.fits	3.2125	2.1753	nan	nan
CAPERS_UDS_P2_s000012658_x1d.fits	7.2989	2.2233	5.3349	nan
CAPERS_UDS_P2_s000007353_x1d.fits	3.5726	5.1717	nan	nan
CAPERS_UDS_P2_s000144050_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006267_x1d.fits	6.2569	nan	nan	nan
CAPERS_UDS_P2_s000138774_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000144504_x1d.fits	4.3025	6.1176	nan	nan
CAPERS_UDS_P2_s000009025_x1d.fits	1.8295	2.8091	nan	nan
CAPERS_UDS_P2_s000132382_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000127325_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000137874_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000138106_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006673_x1d.fits	4.7155	1.5222	6.401	1.1525
CAPERS_UDS_P2_s000128846_x1d.fits	4.6291	6.5594	nan	nan
CAPERS_UDS_P2_s000133962_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000154195_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000017536_x1d.fits	2.7467	4.048	0.9172	5.2053
CAPERS_UDS_P2_s000008393_x1d.fits	2.0984	3.1837	nan	nan
CAPERS_UDS_P2_s000013915_x1d.fits	3.2221	1.1525	4.6771	nan
CAPERS_UDS_P2_s000129431_x1d.fits	2.5162	nan	nan	nan
CAPERS_UDS_P2_s000012383_x1d.fits	1.4646	2.3193	nan	nan
CAPERS_UDS_P2_s000005510_x1d.fits	6.4442	3.2509	3.1261	4.581
CAPERS_UDS_P2_s000017122_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004988_x1d.fits	1.0996	nan	nan	nan
CAPERS_UDS_P2_s000137575_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134188_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000144628_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012416_x1d.fits	3.9904	0.9364	1.5702	5.7047
CAPERS_UDS_P2_s000013920_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000138551_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014530_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000133554_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016304_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009687_x1d.fits	3.5342	5.0948	nan	nan
CAPERS_UDS_P2_s000005038_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000148322_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134684_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005146_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000140510_x1d.fits	2.617	3.8655	nan	nan
CAPERS_UDS_P2_s000005811_x1d.fits	3.0972	4.5042	1.09	nan
CAPERS_UDS_P2_s000134065_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149674_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009277_x1d.fits	1.6134	2.5066	nan	nan
CAPERS_UDS_P2_s000014494_x1d.fits	1.8247	2.3193	0.9364	4.5282
CAPERS_UDS_P2_s000132638_x1d.fits	4.5714	6.4922	nan	nan
CAPERS_UDS_P2_s000007192_x1d.fits	1.2053	nan	nan	nan
CAPERS_UDS_P2_s000007366_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012695_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008872_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009082_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014069_x1d.fits	5.7767	nan	nan	nan
CAPERS_UDS_P2_s000144498_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013964_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000148367_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008993_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011521_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000150061_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012702_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000135500_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000131428_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000147547_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000152970_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000118235_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000015724_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000140312_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000118595_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006582_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014659_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000148887_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149210_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000140035_x1d.fits	3.1309	4.5522	nan	nan
CAPERS_UDS_P2_s000006363_x1d.fits	3.9616	5.6663	nan	nan
CAPERS_UDS_P2_s000133007_x1d.fits	6.9868	nan	nan	nan
CAPERS_UDS_P2_s000004557_x1d.fits	3.587	5.1669	nan	nan
CAPERS_UDS_P2_s000149283_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000130679_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134610_x1d.fits	3.6927	5.3013	nan	nan
CAPERS_UDS_P2_s000126044_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000141311_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000127425_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000132410_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000137847_x1d.fits	7.1837	2.7227	1.1717	9.9208
CAPERS_UDS_P2_s000139732_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000142813_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000131422_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016112_x1d.fits	1.7143	2.6459	nan	nan
CAPERS_UDS_P2_s000150619_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014332_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011192_x1d.fits	3.1357	1.1044	4.5618	nan
CAPERS_UDS_P2_s000133603_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149049_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000145331_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000144536_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009725_x1d.fits	2.9388	1.9688	nan	nan
CAPERS_UDS_P2_s000136553_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006806_x1d.fits	6.6507	1.9688	0.5282	1.9352
CAPERS_UDS_P2_s000132209_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008984_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000152268_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007530_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134193_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000133761_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005304_x1d.fits	0.0384	nan	nan	nan
CAPERS_UDS_P2_s000138370_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012158_x1d.fits	1.4406	2.2953	nan	nan
CAPERS_UDS_P2_s000133089_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000132241_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000119600_x1d.fits	4.0672	5.8103	nan	nan
CAPERS_UDS_P2_s000151428_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009469_x1d.fits	1.1381	1.8535	nan	nan
CAPERS_UDS_P2_s000010848_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000153427_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000017467_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000139114_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000017133_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014455_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149372_x1d.fits	5.4118	nan	nan	nan
CAPERS_UDS_P2_s000006309_x1d.fits	0.9124	1.5462	nan	nan
CAPERS_UDS_P2_s000016811_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000139408_x1d.fits	4.922	6.7131	6.9676	nan
CAPERS_UDS_P2_s000016589_x1d.fits	4.5906	6.5114	nan	nan
CAPERS_UDS_P2_s000005474_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000116448_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016427_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000017982_x1d.fits	1.6327	nan	nan	nan
CAPERS_UDS_P2_s000159732_x1d.fits	2.2617	nan	nan	nan
CAPERS_UDS_P2_s000152881_x1d.fits	3.0828	4.485	nan	nan
CAPERS_UDS_P2_s000013472_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007348_x1d.fits	2.6218	nan	nan	nan
CAPERS_UDS_P2_s000127376_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000138014_x1d.fits	2.0984	3.1693	nan	nan
CAPERS_UDS_P2_s000133151_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005752_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005378_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011625_x1d.fits	2.2569	3.3758	nan	nan
CAPERS_UDS_P2_s000147580_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000114785_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134281_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000144353_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000159920_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012531_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000117402_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000003540_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000132283_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007381_x1d.fits	1.2293	1.9976	nan	nan
CAPERS_UDS_P2_s000131222_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011824_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134119_x1d.fits	7.3325	1.2149	2.7947	2.2377
CAPERS_UDS_P2_s000012817_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014839_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000136057_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000142605_x1d.fits	5.3445	0.6387	7.515	1.8247
CAPERS_UDS_P2_s000006009_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000139736_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000144248_x1d.fits	4.2401	6.0552	nan	nan
CAPERS_UDS_P2_s000010424_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006820_x1d.fits	4.2065	5.9976	nan	nan
CAPERS_UDS_P2_s000126100_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012969_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000135897_x1d.fits	2.0984	nan	nan	nan
CAPERS_UDS_P2_s000016900_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009628_x1d.fits	3.9712	5.6903	nan	nan
CAPERS_UDS_P2_s000007631_x1d.fits	0.2449	nan	nan	nan
CAPERS_UDS_P2_s000147991_x1d.fits	3.5822	5.1813	nan	nan
CAPERS_UDS_P2_s000143568_x1d.fits	5.1573	7.2749	nan	nan
CAPERS_UDS_P2_s000005703_x1d.fits	2.0984	0.5762	3.1645	6.9148
CAPERS_UDS_P2_s000012190_x1d.fits	7.1453	2.0696	2.0936	nan
CAPERS_UDS_P2_s000115968_x1d.fits	0.9172	nan	nan	nan
CAPERS_UDS_P2_s000150335_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000129019_x1d.fits	5.5126	3.8271	nan	nan
CAPERS_UDS_P2_s000117317_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006814_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000151871_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005643_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008905_x1d.fits	4.922	6.958	nan	nan
CAPERS_UDS_P2_s000148172_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000119084_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134656_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013192_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008972_x1d.fits	2.8619	4.2065	0.9748	nan
CAPERS_UDS_P2_s000007555_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000118477_x1d.fits	3.6927	5.3061	nan	nan
CAPERS_UDS_P2_s000011228_x1d.fits	3.2269	4.6915	nan	nan
CAPERS_UDS_P2_s000009159_x1d.fits	0.8739	0.4274	1.5078	nan
CAPERS_UDS_P2_s000149453_x1d.fits	4.0528	5.7863	nan	nan
CAPERS_UDS_P2_s000014285_x1d.fits	2.036	3.078	nan	nan
CAPERS_UDS_P2_s000015322_x1d.fits	3.7023	5.3109	nan	nan
CAPERS_UDS_P2_s000146773_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014464_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004337_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009648_x1d.fits	4.533	6.4394	2.8764	4.2257
CAPERS_UDS_P2_s000148119_x1d.fits	2.2137	0.2497	3.3181	nan
CAPERS_UDS_P2_s000150361_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005933_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000135482_x1d.fits	2.6267	3.88	nan	nan
CAPERS_UDS_P2_s000008867_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000137678_x1d.fits	2.6074	3.8511	nan	nan
CAPERS_UDS_P2_s000148930_x1d.fits	3.976	5.6903	nan	nan
CAPERS_UDS_P2_s000010349_x1d.fits	6.1224	nan	nan	nan
CAPERS_UDS_P2_s000012474_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000136645_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000137042_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000136251_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149188_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009677_x1d.fits	4.4514	6.3193	nan	nan
CAPERS_UDS_P2_s000133935_x1d.fits	2.401	3.5678	0.3217	nan
CAPERS_UDS_P2_s000012753_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000133993_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005301_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013394_x1d.fits	5.09	3.515	nan	nan
CAPERS_UDS_P2_s000008776_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006802_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000149167_x1d.fits	3.515	5.0612	nan	nan
CAPERS_UDS_P2_s000153422_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000150144_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016388_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000002822_x1d.fits	2.2809	7.3854	3.4046	0.6771
CAPERS_UDS_P2_s000008559_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007893_x1d.fits	4.1969	5.988	nan	nan
CAPERS_UDS_P2_s000007599_x1d.fits	2.9484	1.9256	nan	nan
CAPERS_UDS_P2_s000016264_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000132232_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000128104_x1d.fits	0.2737	nan	nan	nan
CAPERS_UDS_P2_s000151883_x1d.fits	4.5666	6.4778	nan	nan
CAPERS_UDS_P2_s000127612_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000140128_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006445_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134487_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000015142_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000014523_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013471_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013617_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000142615_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000152321_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000151253_x1d.fits	2.3193	3.4574	nan	nan
CAPERS_UDS_P2_s000128077_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006050_x1d.fits	2.2713	nan	nan	nan
CAPERS_UDS_P2_s000152950_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000133406_x1d.fits	1.7719	2.7323	nan	nan
CAPERS_UDS_P2_s000133407_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134109_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000132067_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000150311_x1d.fits	4.6146	6.5594	nan	nan
CAPERS_UDS_P2_s000151225_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000138936_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000013189_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000125718_x1d.fits	5.9688	nan	nan	nan
CAPERS_UDS_P2_s000143579_x1d.fits	2.7947	4.096	nan	nan
CAPERS_UDS_P2_s000147511_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004613_x1d.fits	5.2533	7.4046	7.1597	nan
CAPERS_UDS_P2_s000143064_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000131834_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009644_x1d.fits	1.3493	nan	nan	nan
CAPERS_UDS_P2_s000137131_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007979_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000015772_x1d.fits	4.6291	6.569	nan	nan
CAPERS_UDS_P2_s000009704_x1d.fits	2.3577	3.515	nan	nan
CAPERS_UDS_P2_s000014456_x1d.fits	3.4862	2.3241	nan	nan
CAPERS_UDS_P2_s000118287_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000006684_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016144_x1d.fits	3.2125	4.6579	1.1477	nan
CAPERS_UDS_P2_s000116619_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000136287_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134084_x1d.fits	9.9208	2.1801	5.2053	2.7227
CAPERS_UDS_P2_s000016573_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011312_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000122118_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000005922_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000016939_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007032_x1d.fits	1.9688	2.9916	nan	nan
CAPERS_UDS_P2_s000010310_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000007583_x1d.fits	2.5258	0.7971	3.7407	nan
CAPERS_UDS_P2_s000137112_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000153547_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000146878_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000011584_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000128156_x1d.fits	3.3806	4.9124	nan	nan
CAPERS_UDS_P2_s000013482_x1d.fits	3.0636	4.4802	nan	nan
CAPERS_UDS_P2_s000007980_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009998_x1d.fits	3.976	5.6807	nan	nan
CAPERS_UDS_P2_s000118714_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000150155_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004854_x1d.fits	6.4346	3.2413	3.1164	4.6723
CAPERS_UDS_P2_s000009021_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000147066_x1d.fits	7.0108	1.0804	2.5642	2.0408
CAPERS_UDS_P2_s000150803_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000152669_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009068_x1d.fits	0.8547	nan	nan	nan
CAPERS_UDS_P2_s000005645_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000008903_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000004679_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000009160_x1d.fits	2.4922	3.6927	1.0996	2.5978
CAPERS_UDS_P2_s000013194_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000152832_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000118617_x1d.fits	6.8043	nan	nan	nan
CAPERS_UDS_P2_s000013850_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000134758_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000127603_x1d.fits	1.3541	2.1657	nan	nan
CAPERS_UDS_P2_s000012701_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P2_s000012314_x1d.fits	0.946	1.6182	nan	nan
CAPERS_UDS_P2_s000014440_x1d.fits	2.2281	1.3974	nan	nan
CAPERS_UDS_P2_s000142583_x1d.fits	nan	nan	nan	nan
CAPERS_UDS_P3_s000129427_x1d.fits	3.7023	5.3205	nan	nan
CAPERS_UDS_P3_s000002193_x1d.fits	nan	nan	nan	nan
