,id,bayes.universe.redshift,bayes.universe.redshift_err,best.universe.redshift,best.chi_square,best.reduced_chi_square
706,101102,0.7097706733436663,0.00875320226115302,0.71,344.5718343636752,0.9492337034811988
707,101395,2.1602422275124873,1.1309802650446965,1.04,140.9519020711615,0.6495479358118041
708,101720,2.51,1.1865230951291867e-11,2.5100000000000002,457.53735349078283,1.1731727012584174
709,101733,1.2331860472367717,0.6475232712450152,0.8,287.4216449789986,0.8871038425277734
710,101777,5.110000000000001,2.446832680451826e-12,5.11,354.41986149465407,1.0643239083923546
711,101795,6.03999999999963,7.321640868023717e-08,6.04,534.4921810477806,1.4102696069862286
712,101814,0.22950726957121345,0.051586942742779536,0.28,507.79320463676675,1.2538103818191773
713,102124,2.2785718714619647,0.005076761231038706,2.2800000000000002,307.1567348415106,0.9034021612985607
714,102182,5.219999999999999,9.28450504685901e-16,5.22,540.0344080974,1.5653171249200002
715,102254,2.366665903114679,0.09089156220981758,2.37,105.6235967452981,0.8449887739623848
716,102318,4.529596727219604,0.001967256685983756,4.53,432.49750782856705,1.2646125959899621
717,102363,3.220039449354062,0.0006268471018744999,3.22,209.59599932160995,0.6509192525515837
718,102481,4.719999999999687,5.5848153470907614e-08,4.72,418.11042303240737,1.2631734834815933
719,102537,3.7199650325386555,0.0007662953808285367,3.72,273.7001596880963,0.8243980713496876
720,102762,1.9880777209048495,0.039920173020348546,1.97,261.3215849505086,0.7402877760637638
721,102764,1.8299281187319405,0.6962680482870913,2.45,137.76868090720455,0.5083715162627475
722,102811,3.2500197112980103,0.000443536294870892,3.25,467.7373673424273,1.292092174979081
723,102822,2.2580200883110657,0.8625981809100638,2.2,336.70314687126177,0.9845121253545666
724,102845,1.930377625186008,0.09528726226322788,1.93,335.6869771152144,0.9273120914784928
725,102871,2.6736589788733296,0.28841587039726363,2.79,422.1473605903036,1.162940387301112
726,102926,7.1638401038280985,1.7780799876463695,9.57,187.62485888677966,1.0252724529332222
727,102986,3.220000001050172,3.2406369747015885e-06,3.22,336.7935530930419,0.9029317777293349
728,103071,2.7597960927894554,0.47499079101600344,2.65,293.83654444132236,0.8693388888796519
729,103227,5.0607161108711525,0.0025784285779813483,5.0600000000000005,282.85043515328726,0.8468575902793032
730,103256,2.540925561418171,0.003227513438315501,2.54,272.329133658959,0.762826704927056
731,103270,2.74528355743504,0.12748136093510648,2.88,415.47522569542673,1.0791564303777317
732,103313,1.5049424385117853,0.2752427164578591,0.74,270.9265742268487,0.7852944180488368
733,103343,4.3511238184964265,3.708918092996546,0.11,2.1527020624359614,0.1435134708290641
734,103364,3.2334310242143314,0.32559767208226864,3.22,222.60323905525627,0.9353077271229255
735,103576,1.5765028441686235,1.7860558181043584,1.01,221.58390153985295,1.8938795003406235
736,103610,3.2100000000000004,5.469308665424695e-12,3.21,382.4135910561933,1.0894974104165052
737,103783,5.095285608706431,1.9349337171503833,6.58,0.8418010740817305,0.12025729629739008
738,103792,0.8570264283663661,0.012038670921469855,0.86,303.48668075271104,0.8646344180988919
739,103825,3.6060293789195303,0.005218653793815363,3.61,213.6614168795382,0.6211087699986575
740,103921,2.7042746310906414,0.5293607603200075,3.09,134.9211152901127,0.6304725013556669
741,104175,2.9092182565663114,0.6801317583954939,1.78,82.30229933206314,0.39952572491292787
742,104320,2.4899999999541187,6.773548682353923e-07,2.49,402.43309856304325,1.0703007940506468
743,104422,3.7099999999342015,8.111627893580682e-07,3.71,396.3127709383169,1.1830231968307967
744,104491,3.710000000000238,6.869437448602066e-08,3.71,519.4884917381464,1.2763845005851264
745,104546,4.909996925743465,0.00017530862946572149,4.91,228.18862845828565,0.7555914849612108
746,104709,0.5106835916228907,0.04331313860942663,0.51,243.54262282137387,0.7881638279008863
747,104744,1.2777704414175164,0.20435911634570258,1.16,271.17624209075296,0.8775930164749287
748,104790,2.321273376213883,0.20686062264584676,2.3000000000000003,129.72394760022513,0.6327997443913421
749,104843,3.365381456007856,0.22047735679997285,3.27,352.34133656615484,0.9897228555229068
750,104849,2.0534847891365398,0.0846559585610772,2.0300000000000002,412.14729603363327,1.0595046170530418
751,104896,3.700000752993784,8.67719510336265e-05,3.7,370.3683846762242,1.0957644517048053
752,104948,3.4199994355787227,0.0007680234674098714,3.42,258.51848002674654,1.2990878393303846
753,105150,0.8613835432600524,0.0470659729042811,0.86,265.7278892276793,0.7422566738203333
754,105225,1.1798487138539098,0.015372160287830202,1.19,319.1409718477309,0.8865026995770303
755,105324,1.5691306229590458,0.11515879844056764,1.56,251.1002204729136,0.7750006804719556
756,105420,4.774179113427694,3.299362155388255,8.44,166.28739927553633,0.6899892086121839
757,105454,4.950002500774732,0.0001581186055950992,4.95,559.9743697736135,1.3964448124030262
758,105478,2.2584432082750245,0.0036723409354005934,2.2600000000000002,281.65932720910314,0.7780644398041523
759,105528,0.7738393502666926,0.033286469062910995,0.78,285.4693234256241,0.8470899804914662
760,105697,1.861881100679691,0.003964763517562484,1.86,365.53479577753154,0.9469813362112216
761,105799,1.2679390035403983,0.011548761190781251,1.27,351.81485921569595,0.9020893826043486
762,106041,3.7026122780690325,0.004393038126443518,3.7,349.6674258186485,0.9794605765228249
763,106108,1.4763928510823372,0.006598616772145906,1.48,309.45277878059136,0.8692493785971668
764,106615,1.16491535070541,0.2052137642983334,1.46,324.408780131429,0.8171505796761436
765,106892,1.9563673201969651,0.015580215254227165,1.95,391.7879588571435,0.9994590787172029
766,107283,4.02,1.2052274192677686e-09,4.0200000000000005,408.4040789500797,1.1941639735382448
767,107315,1.6874472483957332,0.314918870377452,1.75,275.7055291381669,0.8254656561022962
768,107558,2.8598676238805014,0.013134075483582546,2.86,331.1721793498381,0.8784407940314007
769,108146,3.9451557733995135,0.22726156101577633,4.08,305.6658647075335,0.8216824320094986
770,108558,0.03252767237586751,0.01892952967732731,0.02,237.81571458742394,0.6933402757650844
771,108842,3.48083355306026,0.01115751567436469,3.49,333.0371118341415,0.9149371204234656
772,108988,4.910000000000001,9.259316382348813e-11,4.91,504.50911892268726,1.6222158164716631
773,109375,4.872135236156406,0.004098956496338668,4.87,282.8638582126301,0.9124640587504196
774,109499,3.7000819869204498,0.0009017468321953043,3.7,436.85717664599474,1.134693965314272
775,110467,1.8695469837732959,0.004096931915901562,1.87,268.27711686675235,0.7135029703902988
